Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/12/24,2:25:55 PM,100,272.664,NaN,17.681,NaN,,27.58,NaN
1,Light,4/12/24,2:26:02 PM,50,267.654,NaN,17.862,NaN,,27.561,NaN
1,Light,4/12/24,2:26:09 PM,0,258.055,NaN,18.22,NaN,,27.528,NaN
1,Light,4/12/24,2:26:16 PM,-50,248.842,NaN,18.568,NaN,,27.545,NaN
1,Light,4/12/24,2:26:23 PM,-100,238.639,NaN,18.978,NaN,,27.541,NaN
1,Light,4/12/24,2:26:30 PM,-150,230.336,NaN,19.335,NaN,,27.508,NaN
1,Light,4/12/24,2:26:37 PM,-200,221.813,NaN,19.7,NaN,,27.548,NaN
1,Light,4/12/24,2:26:44 PM,-250,214.255,NaN,20.047,NaN,,27.548,NaN
1,Light,4/12/24,2:26:51 PM,-300,207.872,NaN,20.357,NaN,,27.526,NaN
1,Light,4/12/24,2:26:58 PM,-350,204.006,NaN,20.53,NaN,,27.595,NaN
1,Light,4/12/24,2:27:05 PM,-400,201.11,NaN,20.68,NaN,,27.575,NaN
1,Light,4/12/24,2:27:12 PM,-450,198.268,NaN,20.824,NaN,,27.578,NaN
1,Light,4/12/24,2:27:19 PM,-500,196.394,NaN,20.928,NaN,,27.549,NaN
1,Light,4/12/24,2:27:26 PM,-550,195.143,NaN,20.992,NaN,,27.554,NaN
1,Light,4/12/24,2:27:33 PM,-600,194.407,NaN,21.04,NaN,,27.516,NaN
1,Light,4/12/24,2:27:40 PM,-650,194.038,NaN,21.048,NaN,,27.562,NaN
1,Light,4/12/24,2:27:47 PM,-700,193.949,NaN,21.045,NaN,,27.593,NaN
1,Light,4/12/24,2:27:54 PM,-750,193.724,NaN,21.076,NaN,,27.516,NaN
1,Light,4/12/24,2:28:01 PM,-800,193.678,NaN,21.067,NaN,,27.562,NaN
1,Light,4/12/24,2:28:08 PM,-850,193.498,NaN,21.077,NaN,,27.56,NaN
1,Light,4/12/24,2:28:15 PM,-900,193.607,NaN,21.07,NaN,,27.565,NaN
1,Light,4/12/24,2:28:22 PM,-950,193.022,NaN,21.095,NaN,,27.589,NaN
1,Light,4/12/24,2:28:29 PM,-1000,193.452,NaN,21.073,NaN,,27.586,NaN
1,Light,4/12/24,2:28:36 PM,-1050,192.79,NaN,21.111,NaN,,27.574,NaN
1,Light,4/12/24,2:28:43 PM,-1100,193.369,NaN,21.095,NaN,,27.515,NaN
1,Light,4/12/24,2:28:50 PM,-1150,193.135,NaN,21.092,NaN,,27.577,NaN
1,Light,4/12/24,2:28:57 PM,-1200,193.336,NaN,21.093,NaN,,27.53,NaN
1,Light,4/12/24,2:29:04 PM,-1250,193.286,NaN,21.084,NaN,,27.577,NaN
1,Light,4/12/24,2:29:11 PM,-1300,193.07,NaN,21.089,NaN,,27.603,NaN
1,Light,4/12/24,2:29:18 PM,-1350,193.336,NaN,21.098,NaN,,27.51,NaN
1,Light,4/12/24,2:29:25 PM,-1400,193.981,NaN,21.057,NaN,,27.538,NaN
1,Light,4/12/24,2:29:32 PM,-1450,193.715,NaN,21.071,NaN,,27.538,NaN
2,Light,4/12/24,2:29:55 PM,100,281.187,NaN,17.392,NaN,,27.57,NaN
2,Light,4/12/24,2:30:02 PM,50,279.131,NaN,17.466,NaN,,27.549,NaN
2,Light,4/12/24,2:30:09 PM,0,272.079,NaN,17.703,NaN,,27.573,NaN
2,Light,4/12/24,2:30:16 PM,-50,263.551,NaN,18.01,NaN,,27.56,NaN
