Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/12/24,3:31:40 PM,100,249.478,NaN,18.517,NaN,,27.657,NaN
1,Light,4/12/24,3:31:47 PM,50,242.976,NaN,18.77,NaN,,27.675,NaN
1,Light,4/12/24,3:31:54 PM,0,234.767,NaN,19.109,NaN,,27.667,NaN
1,Light,4/12/24,3:32:00 PM,-50,226.4,NaN,19.474,NaN,,27.641,NaN
1,Light,4/12/24,3:32:07 PM,-100,217.171,NaN,19.885,NaN,,27.657,NaN
1,Light,4/12/24,3:32:13 PM,-150,210.115,NaN,20.215,NaN,,27.664,NaN
1,Light,4/12/24,3:32:20 PM,-200,204.632,NaN,20.484,NaN,,27.656,NaN
1,Light,4/12/24,3:32:27 PM,-250,199.971,NaN,20.718,NaN,,27.655,NaN
1,Light,4/12/24,3:32:34 PM,-300,197.122,NaN,20.869,NaN,,27.635,NaN
1,Light,4/12/24,3:32:41 PM,-350,195.113,NaN,20.971,NaN,,27.645,NaN
1,Light,4/12/24,3:32:47 PM,-400,193.747,NaN,21.044,NaN,,27.64,NaN
1,Light,4/12/24,3:32:54 PM,-450,193.735,NaN,21.035,NaN,,27.679,NaN
1,Light,4/12/24,3:33:01 PM,-500,193.28,NaN,21.063,NaN,,27.663,NaN
1,Light,4/12/24,3:33:07 PM,-550,192.977,NaN,21.084,NaN,,27.643,NaN
1,Light,4/12/24,3:33:14 PM,-600,192.628,NaN,21.105,NaN,,27.633,NaN
1,Light,4/12/24,3:33:21 PM,-650,192.242,NaN,21.125,NaN,,27.635,NaN
1,Light,4/12/24,3:33:27 PM,-700,192.333,NaN,21.11,NaN,,27.676,NaN
1,Light,4/12/24,3:33:34 PM,-750,193.038,NaN,21.083,NaN,,27.634,NaN
1,Light,4/12/24,3:33:40 PM,-800,193.796,NaN,21.036,NaN,,27.662,NaN
1,Light,4/12/24,3:33:47 PM,-850,193.578,NaN,21.048,NaN,,27.66,NaN
1,Light,4/12/24,3:33:53 PM,-900,193.326,NaN,21.066,NaN,,27.641,NaN
1,Light,4/12/24,3:34:00 PM,-950,192.384,NaN,21.11,NaN,,27.665,NaN
1,Light,4/12/24,3:34:06 PM,-1000,192.731,NaN,21.098,NaN,,27.639,NaN
1,Light,4/12/24,3:34:13 PM,-1050,192.798,NaN,21.088,NaN,,27.665,NaN
1,Light,4/12/24,3:34:19 PM,-1100,192.536,NaN,21.096,NaN,,27.689,NaN
1,Light,4/12/24,3:34:26 PM,-1150,193.016,NaN,21.074,NaN,,27.675,NaN
1,Light,4/12/24,3:34:33 PM,-1200,193.285,NaN,21.061,NaN,,27.67,NaN
1,Light,4/12/24,3:34:39 PM,-1250,192.982,NaN,21.08,NaN,,27.658,NaN
1,Light,4/12/24,3:34:46 PM,-1300,192.466,NaN,21.097,NaN,,27.7,NaN
1,Light,4/12/24,3:34:52 PM,-1350,192.879,NaN,21.079,NaN,,27.684,NaN
1,Light,4/12/24,3:34:58 PM,-1400,192.837,NaN,21.084,NaN,,27.673,NaN
1,Light,4/12/24,3:35:05 PM,-1450,192.607,NaN,21.091,NaN,,27.694,NaN
2,Light,4/12/24,3:35:41 PM,100,247.021,NaN,18.609,NaN,,27.675,NaN
2,Light,4/12/24,3:35:48 PM,50,242.976,NaN,18.77,NaN,,27.675,NaN
2,Light,4/12/24,3:35:54 PM,0,235.705,NaN,19.074,NaN,,27.649,NaN
2,Light,4/12/24,3:36:00 PM,-50,227.677,NaN,19.417,NaN,,27.646,NaN
2,Light,4/12/24,3:36:07 PM,-100,219.189,NaN,19.786,NaN,,27.684,NaN
2,Light,4/12/24,3:36:14 PM,-150,211.552,NaN,20.143,NaN,,27.678,NaN
2,Light,4/12/24,3:36:20 PM,-200,205.285,NaN,20.452,NaN,,27.655,NaN
2,Light,4/12/24,3:36:27 PM,-250,200.285,NaN,20.705,NaN,,27.643,NaN
2,Light,4/12/24,3:36:33 PM,-300,198.117,NaN,20.814,NaN,,27.65,NaN
2,Light,4/12/24,3:36:40 PM,-350,196.338,NaN,20.9,NaN,,27.674,NaN
2,Light,4/12/24,3:36:46 PM,-400,194.497,NaN,21.011,NaN,,27.614,NaN
2,Light,4/12/24,3:36:52 PM,-450,193.672,NaN,21.046,NaN,,27.648,NaN
2,Light,4/12/24,3:36:59 PM,-500,193.444,NaN,21.059,NaN,,27.644,NaN
2,Light,4/12/24,3:37:06 PM,-550,193.41,NaN,21.069,NaN,,27.611,NaN
2,Light,4/12/24,3:37:12 PM,-600,193.961,NaN,21.033,NaN,,27.639,NaN
2,Light,4/12/24,3:37:19 PM,-650,192.879,NaN,21.079,NaN,,27.684,NaN
2,Light,4/12/24,3:37:25 PM,-700,193.109,NaN,21.075,NaN,,27.651,NaN
2,Light,4/12/24,3:37:31 PM,-750,192.859,NaN,21.088,NaN,,27.652,NaN
2,Light,4/12/24,3:37:38 PM,-800,192.926,NaN,21.082,NaN,,27.662,NaN
2,Light,4/12/24,3:37:45 PM,-850,193.428,NaN,21.045,NaN,,27.704,NaN
