
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/12/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
9:11:30 AM	0.0	272.383	NaN	17.896	NaN		26.691	NaN
9:11:37 AM	-50.0	267.581	NaN	18.070	NaN		26.676	NaN
9:11:44 AM	-100.0	262.001	NaN	18.273	NaN		26.676	NaN
9:11:51 AM	-150.0	254.504	NaN	18.552	NaN		26.686	NaN
9:11:58 AM	-200.0	247.344	NaN	18.830	NaN		26.688	NaN
9:12:05 AM	-250.0	239.191	NaN	19.164	NaN		26.669	NaN
9:12:12 AM	-300.0	231.242	NaN	19.497	NaN		26.676	NaN
9:12:19 AM	-350.0	224.455	NaN	19.791	NaN		26.688	NaN
9:12:26 AM	-400.0	218.552	NaN	20.056	NaN		26.697	NaN
9:12:33 AM	-450.0	214.705	NaN	20.240	NaN		26.676	NaN
9:12:40 AM	-500.0	211.765	NaN	20.379	NaN		26.677	NaN
9:12:47 AM	-550.0	210.222	NaN	20.450	NaN		26.689	NaN
9:12:54 AM	-600.0	209.926	NaN	20.466	NaN		26.682	NaN
9:13:01 AM	-650.0	208.960	NaN	20.513	NaN		26.681	NaN
9:13:08 AM	-700.0	209.084	NaN	20.503	NaN		26.697	NaN
9:13:15 AM	-750.0	208.497	NaN	20.534	NaN		26.687	NaN
9:13:22 AM	-800.0	208.836	NaN	20.516	NaN		26.693	NaN
9:13:28 AM	-850.0	208.199	NaN	20.548	NaN		26.689	NaN
9:13:35 AM	-900.0	208.312	NaN	20.541	NaN		26.695	NaN
9:13:42 AM	-950.0	208.821	NaN	20.526	NaN		26.656	NaN
9:13:48 AM	-1000.0	208.096	NaN	20.551	NaN		26.697	NaN
9:13:55 AM	-1050.0	208.564	NaN	20.532	NaN		26.682	NaN
9:14:01 AM	-1100.0	208.399	NaN	20.537	NaN		26.694	NaN
9:14:08 AM	-1150.0	208.178	NaN	20.545	NaN		26.705	NaN
9:14:14 AM	-1200.0	208.312	NaN	20.542	NaN		26.691	NaN
9:14:21 AM	-1250.0	208.389	NaN	20.533	NaN		26.712	NaN
9:14:28 AM	-1300.0	208.317	NaN	20.537	NaN		26.710	NaN
9:14:35 AM	-1350.0	208.636	NaN	20.524	NaN		26.700	NaN
9:14:41 AM	-1400.0	208.677	NaN	20.522	NaN		26.700	NaN
9:14:48 AM	-1450.0	208.636	NaN	20.520	NaN		26.716	NaN
9:14:54 AM	-1500.0	208.271	NaN	20.541	NaN		26.703	NaN
9:15:01 AM	-1550.0	208.327	NaN	20.542	NaN		26.688	NaN
9:15:08 AM	-1600.0	207.907	NaN	20.555	NaN		26.718	NaN
9:15:14 AM	-1650.0	208.045	NaN	20.550	NaN		26.711	NaN
9:15:21 AM	-1700.0	208.363	NaN	20.534	NaN		26.713	NaN
9:15:27 AM	-1750.0	208.625	NaN	20.525	NaN		26.698	NaN
9:15:34 AM	-1800.0	208.368	NaN	20.537	NaN		26.700	NaN
9:15:41 AM	-1850.0	208.651	NaN	20.524	NaN		26.697	NaN
9:15:47 AM	-1900.0	208.554	NaN	20.525	NaN		26.712	NaN
9:15:54 AM	-1950.0	208.296	NaN	20.542	NaN		26.694	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/12/2024	Data Set: 	2	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
9:20:25 AM	0.0	278.424	NaN	17.675	NaN		26.742	NaN
9:20:32 AM	-50.0	271.127	NaN	17.929	NaN		26.739	NaN
9:20:39 AM	-100.0	261.968	NaN	18.261	NaN		26.732	NaN
9:20:46 AM	-150.0	252.491	NaN	18.616	NaN		26.742	NaN
9:20:53 AM	-200.0	242.639	NaN	19.004	NaN		26.748	NaN
9:21:00 AM	-250.0	233.083	NaN	19.401	NaN		26.747	NaN
9:21:06 AM	-300.0	224.728	NaN	19.760	NaN		26.765	NaN
9:21:13 AM	-350.0	218.676	NaN	20.035	NaN		26.759	NaN
9:21:20 AM	-400.0	213.975	NaN	20.256	NaN		26.750	NaN
9:21:27 AM	-450.0	211.269	NaN	20.394	NaN		26.712	NaN
9:21:34 AM	-500.0	209.234	NaN	20.483	NaN		26.748	NaN
9:21:41 AM	-550.0	208.492	NaN	20.517	NaN		26.756	NaN
9:21:47 AM	-600.0	208.354	NaN	20.526	NaN		26.747	NaN
9:21:54 AM	-650.0	208.436	NaN	20.518	NaN		26.763	NaN
9:22:01 AM	-700.0	208.102	NaN	20.546	NaN		26.716	NaN
9:22:08 AM	-750.0	208.025	NaN	20.540	NaN		26.755	NaN
9:22:15 AM	-800.0	208.241	NaN	20.529	NaN		26.757	NaN
9:22:21 AM	-850.0	208.133	NaN	20.535	NaN		26.754	NaN
9:22:28 AM	-900.0	207.840	NaN	20.553	NaN		26.739	NaN
9:22:35 AM	-950.0	208.185	NaN	20.529	NaN		26.768	NaN
9:22:42 AM	-1000.0	208.251	NaN	20.532	NaN		26.743	NaN
9:22:48 AM	-1050.0	208.097	NaN	20.542	NaN		26.733	NaN
9:22:55 AM	-1100.0	207.984	NaN	20.547	NaN		26.735	NaN
9:23:02 AM	-1150.0	207.902	NaN	20.548	NaN		26.747	NaN
9:23:09 AM	-1200.0	207.856	NaN	20.550	NaN		26.748	NaN
9:23:16 AM	-1250.0	207.759	NaN	20.547	NaN		26.779	NaN
9:23:22 AM	-1300.0	208.267	NaN	20.523	NaN		26.776	NaN
9:23:29 AM	-1350.0	208.056	NaN	20.541	NaN		26.745	NaN
9:23:36 AM	-1400.0	207.948	NaN	20.541	NaN		26.766	NaN
9:23:43 AM	-1450.0	208.549	NaN	20.513	NaN		26.761	NaN
9:23:49 AM	-1500.0	207.871	NaN	20.547	NaN		26.757	NaN
9:23:56 AM	-1550.0	207.969	NaN	20.540	NaN		26.766	NaN
9:24:03 AM	-1600.0	208.210	NaN	20.530	NaN		26.759	NaN
9:24:10 AM	-1650.0	207.974	NaN	20.538	NaN		26.773	NaN
9:24:16 AM	-1700.0	207.513	NaN	20.559	NaN		26.779	NaN
9:24:23 AM	-1750.0	207.253	NaN	20.576	NaN		26.762	NaN
9:24:30 AM	-1800.0	206.967	NaN	20.587	NaN		26.774	NaN
9:24:37 AM	-1850.0	207.862	NaN	20.541	NaN		26.783	NaN
9:24:44 AM	-1900.0	207.953	NaN	20.544	NaN		26.753	NaN
9:24:51 AM	-1950.0	207.677	NaN	20.557	NaN		26.755	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/12/2024	Data Set: 	3	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
9:25:12 AM	0.0	277.207	NaN	17.709	NaN		26.775	NaN
9:25:19 AM	-50.0	271.658	NaN	17.904	NaN		26.766	NaN
9:25:26 AM	-100.0	263.783	NaN	18.185	NaN		26.772	NaN
9:25:33 AM	-150.0	254.043	NaN	18.548	NaN		26.777	NaN
9:25:40 AM	-200.0	244.293	NaN	18.926	NaN		26.795	NaN
9:25:47 AM	-250.0	234.224	NaN	19.347	NaN		26.770	NaN
9:25:54 AM	-300.0	226.120	NaN	19.701	NaN		26.754	NaN
9:26:01 AM	-350.0	220.004	NaN	19.971	NaN		26.772	NaN
9:26:07 AM	-400.0	214.666	NaN	20.222	NaN		26.756	NaN
9:26:14 AM	-450.0	212.082	NaN	20.341	NaN		26.769	NaN
9:26:21 AM	-500.0	209.741	NaN	20.464	NaN		26.726	NaN
9:26:28 AM	-550.0	209.276	NaN	20.480	NaN		26.752	NaN
9:26:35 AM	-600.0	208.143	NaN	20.537	NaN		26.744	NaN
9:26:41 AM	-650.0	208.020	NaN	20.535	NaN		26.776	NaN
9:26:48 AM	-700.0	208.031	NaN	20.533	NaN		26.782	NaN
9:26:55 AM	-750.0	207.544	NaN	20.557	NaN		26.781	NaN
9:27:02 AM	-800.0	208.122	NaN	20.539	NaN		26.740	NaN
9:27:09 AM	-850.0	207.457	NaN	20.564	NaN		26.770	NaN
9:27:16 AM	-900.0	207.498	NaN	20.558	NaN		26.786	NaN
9:27:22 AM	-950.0	207.990	NaN	20.537	NaN		26.774	NaN
9:27:29 AM	-1000.0	207.764	NaN	20.552	NaN		26.758	NaN
9:27:36 AM	-1050.0	208.221	NaN	20.524	NaN		26.781	NaN
9:27:43 AM	-1100.0	207.959	NaN	20.539	NaN		26.772	NaN
9:27:51 AM	-1150.0	207.273	NaN	20.568	NaN		26.790	NaN
9:27:58 AM	-1200.0	208.180	NaN	20.527	NaN		26.777	NaN
9:28:05 AM	-1250.0	207.621	NaN	20.555	NaN		26.774	NaN
9:28:12 AM	-1300.0	207.585	NaN	20.552	NaN		26.793	NaN
9:28:19 AM	-1350.0	208.010	NaN	20.540	NaN		26.758	NaN
9:28:25 AM	-1400.0	207.263	NaN	20.570	NaN		26.784	NaN
9:28:32 AM	-1450.0	207.268	NaN	20.573	NaN		26.771	NaN
9:28:39 AM	-1500.0	207.462	NaN	20.564	NaN		26.769	NaN
9:28:46 AM	-1550.0	206.962	NaN	20.585	NaN		26.783	NaN
9:28:53 AM	-1600.0	207.621	NaN	20.557	NaN		26.766	NaN
9:29:00 AM	-1650.0	207.370	NaN	20.564	NaN		26.787	NaN
9:29:07 AM	-1700.0	207.294	NaN	20.568	NaN		26.786	NaN
9:29:14 AM	-1750.0	207.529	NaN	20.557	NaN		26.784	NaN
9:29:21 AM	-1800.0	207.595	NaN	20.557	NaN		26.771	NaN
9:29:28 AM	-1850.0	207.176	NaN	20.573	NaN		26.789	NaN
9:29:35 AM	-1900.0	207.064	NaN	20.576	NaN		26.799	NaN
9:29:42 AM	-1950.0	207.355	NaN	20.563	NaN		26.794	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/12/2024	Data Set: 	4	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
9:31:51 AM	900.0	376.409	NaN	14.916	NaN	strarting 900 into scaffold	26.804	NaN
9:31:58 AM	850.0	374.982	NaN	14.949	NaN		26.804	NaN
9:32:05 AM	800.0	373.834	NaN	14.974	NaN		26.812	NaN
9:32:12 AM	750.0	372.555	NaN	15.007	NaN		26.797	NaN
9:32:19 AM	700.0	369.983	NaN	15.067	NaN		26.799	NaN
9:32:25 AM	650.0	368.046	NaN	15.111	NaN		26.808	NaN
9:32:32 AM	600.0	364.218	NaN	15.206	NaN		26.792	NaN
9:32:39 AM	550.0	361.573	NaN	15.269	NaN		26.797	NaN
9:32:45 AM	500.0	357.065	NaN	15.379	NaN		26.800	NaN
9:32:52 AM	450.0	354.116	NaN	15.456	NaN		26.783	NaN
9:32:58 AM	400.0	348.186	NaN	15.600	NaN		26.811	NaN
9:33:05 AM	350.0	343.755	NaN	15.724	NaN		26.766	NaN
9:33:12 AM	300.0	336.981	NaN	15.893	NaN		26.810	NaN
9:33:18 AM	250.0	329.483	NaN	16.097	NaN		26.806	NaN
9:33:25 AM	200.0	324.538	NaN	16.233	NaN		26.812	NaN
9:33:31 AM	150.0	316.563	NaN	16.464	NaN		26.795	NaN
9:33:38 AM	100.0	309.253	NaN	16.674	NaN		26.817	NaN
9:33:45 AM	50.0	299.187	NaN	16.982	NaN		26.812	NaN
9:33:51 AM	0.0	288.860	NaN	17.315	NaN		26.794	NaN
