Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/12/24,1:22:51 PM,50,290.611,NaN,17.104,NaN,,27.475,NaN
1,Light,4/12/24,1:22:58 PM,0,284.485,NaN,17.308,NaN,,27.456,NaN
1,Light,4/12/24,1:23:05 PM,-50,275.337,NaN,17.608,NaN,,27.494,NaN
1,Light,4/12/24,1:23:11 PM,-100,264.932,NaN,17.977,NaN,,27.486,NaN
1,Light,4/12/24,1:23:18 PM,-150,253.17,NaN,18.414,NaN,,27.488,NaN
1,Light,4/12/24,1:23:25 PM,-200,242.12,NaN,18.854,NaN,,27.465,NaN
1,Light,4/12/24,1:23:31 PM,-250,229.808,NaN,19.362,NaN,,27.49,NaN
1,Light,4/12/24,1:23:38 PM,-300,220.366,NaN,19.774,NaN,,27.512,NaN
1,Light,4/12/24,1:23:44 PM,-350,213.071,NaN,20.119,NaN,,27.481,NaN
1,Light,4/12/24,1:23:51 PM,-400,207.667,NaN,20.39,NaN,,27.432,NaN
1,Light,4/12/24,1:23:57 PM,-450,202.745,NaN,20.616,NaN,,27.501,NaN
1,Light,4/12/24,1:24:04 PM,-500,199.443,NaN,20.796,NaN,,27.448,NaN
1,Light,4/12/24,1:24:10 PM,-550,197.228,NaN,20.886,NaN,,27.544,NaN
1,Light,4/12/24,1:24:16 PM,-600,196.552,NaN,20.925,NaN,,27.528,NaN
1,Light,4/12/24,1:24:23 PM,-650,196.717,NaN,20.935,NaN,,27.453,NaN
1,Light,4/12/24,1:24:29 PM,-700,195.575,NaN,20.989,NaN,,27.475,NaN
1,Light,4/12/24,1:24:36 PM,-750,195.981,NaN,20.976,NaN,,27.442,NaN
1,Light,4/12/24,1:24:42 PM,-800,196.076,NaN,20.98,NaN,,27.406,NaN
1,Light,4/12/24,1:24:49 PM,-850,195.579,NaN,20.996,NaN,,27.446,NaN
1,Light,4/12/24,1:24:56 PM,-900,194.968,NaN,21.018,NaN,,27.486,NaN
1,Light,4/12/24,1:25:02 PM,-950,195.421,NaN,21.003,NaN,,27.451,NaN
1,Light,4/12/24,1:25:08 PM,-1000,195.184,NaN,21,NaN,,27.513,NaN
1,Light,4/12/24,1:25:15 PM,-1050,195.469,NaN,20.998,NaN,,27.461,NaN
1,Light,4/12/24,1:25:21 PM,-1100,195.254,NaN,21.006,NaN,,27.474,NaN
1,Light,4/12/24,1:25:28 PM,-1150,195.359,NaN,21.006,NaN,,27.452,NaN
1,Light,4/12/24,1:25:35 PM,-1200,195.116,NaN,21.016,NaN,,27.463,NaN
1,Light,4/12/24,1:25:41 PM,-1250,194.503,NaN,21.031,NaN,,27.532,NaN
1,Light,4/12/24,1:25:48 PM,-1300,195.268,NaN,21.013,NaN,,27.443,NaN
1,Light,4/12/24,1:25:55 PM,-1350,194.787,NaN,21.03,NaN,,27.476,NaN
1,Light,4/12/24,1:26:02 PM,-1400,194.422,NaN,21.038,NaN,,27.521,NaN
1,Light,4/12/24,1:26:09 PM,-1450,195.35,NaN,21,NaN,,27.478,NaN
2,Light,4/12/24,1:26:57 PM,50,295.286,NaN,16.961,NaN,,27.449,NaN
2,Light,4/12/24,1:27:04 PM,0,289.267,NaN,17.155,NaN,,27.441,NaN
2,Light,4/12/24,1:27:11 PM,-50,278.544,NaN,17.502,NaN,,27.478,NaN
