
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
4:47:48 PM	750.0	443.270	NaN	13.880	NaN		27.251	NaN
4:47:55 PM	700.0	444.899	NaN	13.853	NaN		27.234	NaN
4:48:02 PM	650.0	445.139	NaN	13.845	NaN		27.252	NaN
4:48:09 PM	600.0	445.880	NaN	13.834	NaN		27.238	NaN
4:48:16 PM	550.0	442.331	NaN	13.895	NaN		27.264	NaN
4:48:23 PM	500.0	439.120	NaN	13.960	NaN		27.241	NaN
4:48:30 PM	450.0	434.024	NaN	14.055	NaN		27.252	NaN
4:48:37 PM	400.0	430.146	NaN	14.129	NaN		27.257	NaN
4:48:44 PM	350.0	422.457	NaN	14.280	NaN		27.259	NaN
4:48:50 PM	300.0	412.832	NaN	14.474	NaN		27.263	NaN
4:48:57 PM	250.0	402.350	NaN	14.693	NaN		27.264	NaN
4:49:04 PM	200.0	387.196	NaN	15.021	NaN		27.277	NaN
4:49:11 PM	150.0	371.934	NaN	15.375	NaN		27.262	NaN
4:49:17 PM	100.0	355.373	NaN	15.780	NaN		27.252	NaN
4:49:24 PM	50.0	335.751	NaN	16.291	NaN		27.249	NaN
4:49:30 PM	0.0	312.305	NaN	16.953	NaN		27.253	NaN
4:49:37 PM	-50.0	289.387	NaN	17.667	NaN		27.246	NaN
4:49:44 PM	-100.0	267.945	NaN	18.404	NaN		27.233	NaN
4:49:51 PM	-150.0	244.822	NaN	19.281	NaN		27.236	NaN
4:49:58 PM	-200.0	228.980	NaN	19.938	NaN		27.255	NaN
4:50:04 PM	-250.0	218.707	NaN	20.393	NaN		27.271	NaN
4:50:11 PM	-300.0	213.556	NaN	20.634	NaN		27.266	NaN
4:50:17 PM	-350.0	211.067	NaN	20.756	NaN		27.251	NaN
4:50:24 PM	-400.0	209.667	NaN	20.821	NaN		27.260	NaN
4:50:30 PM	-450.0	209.367	NaN	20.836	NaN		27.258	NaN
4:50:37 PM	-500.0	209.534	NaN	20.824	NaN		27.274	NaN
4:50:44 PM	-550.0	209.430	NaN	20.831	NaN		27.266	NaN
4:50:51 PM	-600.0	209.300	NaN	20.836	NaN		27.271	NaN
4:50:57 PM	-650.0	209.341	NaN	20.836	NaN		27.263	NaN
4:51:04 PM	-700.0	209.528	NaN	20.826	NaN		27.267	NaN
4:51:11 PM	-750.0	209.270	NaN	20.837	NaN		27.273	NaN
4:51:17 PM	-800.0	209.213	NaN	20.838	NaN		27.280	NaN
4:51:24 PM	-850.0	209.275	NaN	20.836	NaN		27.276	NaN
4:51:30 PM	-900.0	209.519	NaN	20.823	NaN		27.281	NaN
4:51:37 PM	-950.0	209.295	NaN	20.836	NaN		27.272	NaN
4:51:44 PM	-1000.0	209.405	NaN	20.829	NaN		27.279	NaN
4:51:51 PM	-1050.0	208.920	NaN	20.848	NaN		27.297	NaN
4:51:58 PM	-1100.0	209.276	NaN	20.831	NaN		27.296	NaN
4:52:04 PM	-1150.0	208.867	NaN	20.853	NaN		27.287	NaN
4:52:11 PM	-1200.0	209.848	NaN	20.815	NaN		27.249	NaN
4:52:18 PM	-1250.0	209.466	NaN	20.828	NaN		27.271	NaN
4:52:25 PM	-1300.0	208.867	NaN	20.855	NaN		27.279	NaN
4:52:31 PM	-1350.0	209.567	NaN	20.833	NaN		27.231	NaN
4:52:38 PM	-1400.0	209.661	NaN	20.826	NaN		27.241	NaN
4:52:44 PM	-1450.0	209.276	NaN	20.832	NaN		27.292	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	2	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
4:53:15 PM	750.0	492.921	NaN	13.011	NaN		27.285	NaN
4:53:22 PM	700.0	502.703	NaN	12.856	NaN		27.280	NaN
4:53:28 PM	650.0	504.559	NaN	12.831	NaN		27.258	NaN
4:53:35 PM	600.0	504.695	NaN	12.830	NaN		27.252	NaN
4:53:41 PM	550.0	500.687	NaN	12.897	NaN		27.231	NaN
4:53:48 PM	500.0	496.473	NaN	12.962	NaN		27.242	NaN
