Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/13/24,7:34:28 PM,100,302.914,NaN,17.145,NaN,,27.662,NaN
1,Light,4/13/24,7:34:34 PM,50,294.797,NaN,17.397,NaN,,27.669,NaN
1,Light,4/13/24,7:34:41 PM,0,282.498,NaN,17.786,NaN,,27.724,NaN
1,Light,4/13/24,7:34:48 PM,-50,270.399,NaN,18.209,NaN,,27.697,NaN
1,Light,4/13/24,7:34:54 PM,-100,258.702,NaN,18.64,NaN,,27.674,NaN
1,Light,4/13/24,7:35:01 PM,-150,244.592,NaN,19.19,NaN,,27.658,NaN
1,Light,4/13/24,7:35:08 PM,-200,233.364,NaN,19.653,NaN,,27.657,NaN
1,Light,4/13/24,7:35:15 PM,-250,223.594,NaN,20.065,NaN,,27.711,NaN
1,Light,4/13/24,7:35:22 PM,-300,216.533,NaN,20.388,NaN,,27.703,NaN
1,Light,4/13/24,7:35:29 PM,-350,210.82,NaN,20.665,NaN,,27.67,NaN
1,Light,4/13/24,7:35:35 PM,-400,209.155,NaN,20.745,NaN,,27.67,NaN
1,Light,4/13/24,7:35:42 PM,-450,208.848,NaN,20.763,NaN,,27.657,NaN
1,Light,4/13/24,7:35:49 PM,-500,208.302,NaN,20.788,NaN,,27.663,NaN
1,Light,4/13/24,7:35:56 PM,-550,207.839,NaN,20.808,NaN,,27.673,NaN
1,Light,4/13/24,7:36:03 PM,-600,208.102,NaN,20.794,NaN,,27.678,NaN
1,Light,4/13/24,7:36:10 PM,-650,207.765,NaN,20.806,NaN,,27.696,NaN
1,Light,4/13/24,7:36:17 PM,-700,207.813,NaN,20.81,NaN,,27.67,NaN
1,Light,4/13/24,7:36:24 PM,-750,208.152,NaN,20.796,NaN,,27.66,NaN
1,Light,4/13/24,7:36:31 PM,-800,208.362,NaN,20.787,NaN,,27.655,NaN
1,Light,4/13/24,7:36:38 PM,-850,208.008,NaN,20.803,NaN,,27.66,NaN
1,Light,4/13/24,7:36:45 PM,-900,208.1,NaN,20.799,NaN,,27.658,NaN
1,Light,4/13/24,7:36:52 PM,-950,207.935,NaN,20.807,NaN,,27.658,NaN
1,Light,4/13/24,7:36:59 PM,-1000,207.565,NaN,20.827,NaN,,27.65,NaN
1,Light,4/13/24,7:37:06 PM,-1050,208.028,NaN,20.802,NaN,,27.66,NaN
1,Light,4/13/24,7:37:13 PM,-1100,207.962,NaN,20.804,NaN,,27.665,NaN
1,Light,4/13/24,7:37:20 PM,-1150,208.307,NaN,20.788,NaN,,27.662,NaN
