
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
2:32:56 PM	750.0	596.733	NaN	11.840	NaN		25.625	NaN
2:33:03 PM	700.0	590.881	NaN	11.915	NaN		25.621	NaN
2:33:10 PM	650.0	589.360	NaN	11.933	NaN		25.629	NaN
2:33:17 PM	600.0	583.040	NaN	12.013	NaN		25.638	NaN
2:33:24 PM	550.0	575.399	NaN	12.116	NaN		25.624	NaN
2:33:30 PM	500.0	565.009	NaN	12.255	NaN		25.627	NaN
2:33:37 PM	450.0	552.478	NaN	12.427	NaN		25.633	NaN
2:33:43 PM	400.0	538.739	NaN	12.623	NaN		25.634	NaN
2:33:50 PM	350.0	522.378	NaN	12.867	NaN		25.628	NaN
2:33:57 PM	300.0	507.269	NaN	13.100	NaN		25.632	NaN
2:34:04 PM	250.0	487.290	NaN	13.424	NaN		25.633	NaN
2:34:11 PM	200.0	462.789	NaN	13.846	NaN		25.639	NaN
2:34:18 PM	150.0	439.811	NaN	14.271	NaN		25.641	NaN
2:34:24 PM	100.0	412.618	NaN	14.812	NaN		25.654	NaN
2:34:31 PM	50.0	382.096	NaN	15.484	NaN		25.645	NaN
2:34:38 PM	0.0	350.297	NaN	16.260	NaN		25.651	NaN
2:34:45 PM	-50.0	318.607	NaN	17.129	NaN		25.661	NaN
2:34:52 PM	-100.0	284.371	NaN	18.202	NaN		25.667	NaN
2:34:58 PM	-150.0	256.345	NaN	19.207	NaN		25.675	NaN
2:35:05 PM	-200.0	235.901	NaN	20.029	NaN		25.679	NaN
2:35:11 PM	-250.0	224.852	NaN	20.509	NaN		25.683	NaN
2:35:18 PM	-300.0	219.002	NaN	20.771	NaN		25.699	NaN
2:35:25 PM	-350.0	216.694	NaN	20.879	NaN		25.696	NaN
2:35:32 PM	-400.0	215.601	NaN	20.928	NaN		25.705	NaN
2:35:39 PM	-450.0	215.563	NaN	20.928	NaN		25.712	NaN
2:35:46 PM	-500.0	215.407	NaN	20.931	NaN		25.729	NaN
2:35:53 PM	-550.0	215.238	NaN	20.941	NaN		25.721	NaN
2:36:00 PM	-600.0	215.093	NaN	20.941	NaN		25.748	NaN
2:36:06 PM	-650.0	215.475	NaN	20.924	NaN		25.744	NaN
2:36:13 PM	-700.0	214.992	NaN	20.946	NaN		25.747	NaN
2:36:19 PM	-750.0	215.399	NaN	20.922	NaN		25.766	NaN
2:36:26 PM	-800.0	215.218	NaN	20.930	NaN		25.768	NaN
2:36:33 PM	-850.0	214.681	NaN	20.951	NaN		25.785	NaN
2:36:39 PM	-900.0	215.546	NaN	20.910	NaN		25.786	NaN
2:36:46 PM	-950.0	215.211	NaN	20.925	NaN		25.789	NaN
2:36:53 PM	-1000.0	215.417	NaN	20.912	NaN		25.802	NaN
2:37:00 PM	-1050.0	215.017	NaN	20.926	NaN		25.821	NaN
2:37:07 PM	-1100.0	215.281	NaN	20.909	NaN		25.839	NaN
2:37:14 PM	-1150.0	214.937	NaN	20.925	NaN		25.840	NaN
2:37:20 PM	-1200.0	214.802	NaN	20.926	NaN		25.861	NaN
2:37:27 PM	-1250.0	214.908	NaN	20.921	NaN		25.861	NaN
2:37:34 PM	-1300.0	215.002	NaN	20.912	NaN		25.879	NaN
