Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/13/24,5:52:29 PM,100,285.724,NaN,17.714,NaN,,27.568,NaN
1,Light,4/13/24,5:52:38 PM,50,276.162,NaN,18.036,NaN,,27.573,NaN
1,Light,4/13/24,5:52:47 PM,0,265.988,NaN,18.395,NaN,,27.575,NaN
1,Light,4/13/24,5:52:56 PM,-50,252.491,NaN,18.904,NaN,,27.554,NaN
1,Light,4/13/24,5:53:05 PM,-100,239.969,NaN,19.404,NaN,,27.546,NaN
1,Light,4/13/24,5:53:14 PM,-150,228.576,NaN,19.886,NaN,,27.543,NaN
1,Light,4/13/24,5:53:23 PM,-200,219.964,NaN,20.277,NaN,,27.511,NaN
1,Light,4/13/24,5:53:32 PM,-250,215.26,NaN,20.493,NaN,,27.515,NaN
1,Light,4/13/24,5:53:40 PM,-300,211.63,NaN,20.663,NaN,,27.52,NaN
1,Light,4/13/24,5:53:49 PM,-350,210.266,NaN,20.729,NaN,,27.517,NaN
1,Light,4/13/24,5:53:58 PM,-400,209.464,NaN,20.772,NaN,,27.499,NaN
1,Light,4/13/24,5:54:07 PM,-450,209.274,NaN,20.777,NaN,,27.516,NaN
1,Light,4/13/24,5:54:16 PM,-500,208.822,NaN,20.789,NaN,,27.556,NaN
1,Light,4/13/24,5:54:25 PM,-550,209.27,NaN,20.76,NaN,,27.586,NaN
1,Light,4/13/24,5:54:34 PM,-600,209.205,NaN,20.771,NaN,,27.554,NaN
1,Light,4/13/24,5:54:43 PM,-650,209.012,NaN,20.783,NaN,,27.543,NaN
1,Light,4/13/24,5:54:52 PM,-700,208.963,NaN,20.78,NaN,,27.565,NaN
1,Light,4/13/24,5:55:01 PM,-750,209.111,NaN,20.778,NaN,,27.544,NaN
1,Light,4/13/24,5:55:10 PM,-800,208.32,NaN,20.805,NaN,,27.59,NaN
1,Light,4/13/24,5:55:19 PM,-850,208.86,NaN,20.783,NaN,,27.573,NaN
1,Light,4/13/24,5:55:28 PM,-900,208.745,NaN,20.792,NaN,,27.559,NaN
1,Light,4/13/24,5:55:37 PM,-950,209.044,NaN,20.78,NaN,,27.549,NaN
1,Light,4/13/24,5:55:46 PM,-1000,208.978,NaN,20.779,NaN,,27.566,NaN
1,Light,4/13/24,5:55:55 PM,-1050,209.104,NaN,20.77,NaN,,27.578,NaN
1,Light,4/13/24,5:56:04 PM,-1100,209.18,NaN,20.77,NaN,,27.563,NaN
1,Light,4/13/24,5:56:13 PM,-1150,209.277,NaN,20.768,NaN,,27.552,NaN
1,Light,4/13/24,5:56:22 PM,-1200,209.15,NaN,20.78,NaN,,27.528,NaN
1,Light,4/13/24,5:56:31 PM,-1250,209.48,NaN,20.757,NaN,,27.557,NaN
1,Light,4/13/24,5:56:40 PM,-1300,208.705,NaN,20.79,NaN,,27.575,NaN
1,Light,4/13/24,5:56:49 PM,-1350,209.063,NaN,20.771,NaN,,27.582,NaN
1,Light,4/13/24,5:56:58 PM,-1400,209.237,NaN,20.767,NaN,,27.564,NaN
1,Light,4/13/24,5:57:07 PM,-1450,208.919,NaN,20.774,NaN,,27.598,NaN
2,Light,4/13/24,5:59:35 PM,100,290.485,NaN,17.55,NaN,,27.604,NaN
2,Light,4/13/24,5:59:41 PM,50,280.152,NaN,17.894,NaN,,27.597,NaN
2,Light,4/13/24,5:59:48 PM,0,267.437,NaN,18.337,NaN,,27.6,NaN
2,Light,4/13/24,5:59:55 PM,-50,253.496,NaN,18.859,NaN,,27.581,NaN
2,Light,4/13/24,6:00:02 PM,-100,240.552,NaN,19.382,NaN,,27.538,NaN
2,Light,4/13/24,6:00:09 PM,-150,228.125,NaN,19.896,NaN,,27.583,NaN
2,Light,4/13/24,6:00:16 PM,-200,219.208,NaN,20.294,NaN,,27.583,NaN
2,Light,4/13/24,6:00:22 PM,-250,214.6,NaN,20.509,NaN,,27.576,NaN
2,Light,4/13/24,6:00:29 PM,-300,211.233,NaN,20.668,NaN,,27.577,NaN
2,Light,4/13/24,6:00:36 PM,-350,209.489,NaN,20.747,NaN,,27.596,NaN
2,Light,4/13/24,6:00:42 PM,-400,209.221,NaN,20.755,NaN,,27.616,NaN
2,Light,4/13/24,6:00:49 PM,-450,208.776,NaN,20.779,NaN,,27.606,NaN
2,Light,4/13/24,6:00:56 PM,-500,208.728,NaN,20.785,NaN,,27.591,NaN
2,Light,4/13/24,6:01:03 PM,-550,208.695,NaN,20.79,NaN,,27.577,NaN
2,Light,4/13/24,6:01:10 PM,-600,209.038,NaN,20.77,NaN,,27.591,NaN
2,Light,4/13/24,6:01:17 PM,-650,209.208,NaN,20.764,NaN,,27.582,NaN
2,Light,4/13/24,6:01:24 PM,-700,209.064,NaN,20.767,NaN,,27.598,NaN
2,Light,4/13/24,6:01:31 PM,-750,209.23,NaN,20.76,NaN,,27.594,NaN
2,Light,4/13/24,6:01:38 PM,-800,209.285,NaN,20.761,NaN,,27.579,NaN
