
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
7:34:28 PM	100.0	302.914	NaN	17.145	NaN		27.662	NaN
7:34:34 PM	50.0	294.797	NaN	17.397	NaN		27.669	NaN
7:34:41 PM	0.0	282.498	NaN	17.786	NaN		27.724	NaN
7:34:48 PM	-50.0	270.399	NaN	18.209	NaN		27.697	NaN
7:34:54 PM	-100.0	258.702	NaN	18.640	NaN		27.674	NaN
7:35:01 PM	-150.0	244.592	NaN	19.190	NaN		27.658	NaN
7:35:08 PM	-200.0	233.364	NaN	19.653	NaN		27.657	NaN
7:35:15 PM	-250.0	223.594	NaN	20.065	NaN		27.711	NaN
7:35:22 PM	-300.0	216.533	NaN	20.388	NaN		27.703	NaN
7:35:29 PM	-350.0	210.820	NaN	20.665	NaN		27.670	NaN
7:35:35 PM	-400.0	209.155	NaN	20.745	NaN		27.670	NaN
7:35:42 PM	-450.0	208.848	NaN	20.763	NaN		27.657	NaN
7:35:49 PM	-500.0	208.302	NaN	20.788	NaN		27.663	NaN
7:35:56 PM	-550.0	207.839	NaN	20.808	NaN		27.673	NaN
7:36:03 PM	-600.0	208.102	NaN	20.794	NaN		27.678	NaN
7:36:10 PM	-650.0	207.765	NaN	20.806	NaN		27.696	NaN
7:36:17 PM	-700.0	207.813	NaN	20.810	NaN		27.670	NaN
7:36:24 PM	-750.0	208.152	NaN	20.796	NaN		27.660	NaN
7:36:31 PM	-800.0	208.362	NaN	20.787	NaN		27.655	NaN
7:36:38 PM	-850.0	208.008	NaN	20.803	NaN		27.660	NaN
7:36:45 PM	-900.0	208.100	NaN	20.799	NaN		27.658	NaN
7:36:52 PM	-950.0	207.935	NaN	20.807	NaN		27.658	NaN
7:36:59 PM	-1000.0	207.565	NaN	20.827	NaN		27.650	NaN
7:37:06 PM	-1050.0	208.028	NaN	20.802	NaN		27.660	NaN
7:37:13 PM	-1100.0	207.962	NaN	20.804	NaN		27.665	NaN
7:37:20 PM	-1150.0	208.307	NaN	20.788	NaN		27.662	NaN
7:37:27 PM	-1200.0	207.803	NaN	20.810	NaN		27.672	NaN
7:37:34 PM	-1250.0	208.230	NaN	20.789	NaN		27.673	NaN
7:37:41 PM	-1300.0	207.851	NaN	20.804	NaN		27.687	NaN
7:37:48 PM	-1350.0	207.741	NaN	20.815	NaN		27.664	NaN
7:37:55 PM	-1400.0	208.178	NaN	20.794	NaN		27.663	NaN
7:38:02 PM	-1450.0	207.745	NaN	20.816	NaN		27.659	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	2	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
7:38:28 PM	100.0	280.353	NaN	17.871	NaN		27.668	NaN
7:38:35 PM	50.0	276.228	NaN	18.014	NaN		27.659	NaN
7:38:41 PM	0.0	265.580	NaN	18.388	NaN		27.669	NaN
7:38:48 PM	-50.0	253.377	NaN	18.842	NaN		27.673	NaN
7:38:55 PM	-100.0	240.174	NaN	19.364	NaN		27.679	NaN
7:39:02 PM	-150.0	228.659	NaN	19.849	NaN		27.682	NaN
7:39:09 PM	-200.0	218.833	NaN	20.277	NaN		27.724	NaN
7:39:16 PM	-250.0	213.431	NaN	20.541	NaN		27.670	NaN
7:39:23 PM	-300.0	209.593	NaN	20.708	NaN		27.735	NaN
7:39:30 PM	-350.0	208.711	NaN	20.764	NaN		27.680	NaN
7:39:37 PM	-400.0	208.225	NaN	20.791	NaN		27.666	NaN
7:39:44 PM	-450.0	207.936	NaN	20.806	NaN		27.662	NaN
7:39:51 PM	-500.0	207.967	NaN	20.803	NaN		27.668	NaN
7:39:58 PM	-550.0	208.185	NaN	20.790	NaN		27.678	NaN
7:40:05 PM	-600.0	207.402	NaN	20.832	NaN		27.662	NaN
7:40:12 PM	-650.0	207.892	NaN	20.802	NaN		27.687	NaN
7:40:19 PM	-700.0	207.508	NaN	20.819	NaN		27.694	NaN
7:40:26 PM	-750.0	207.681	NaN	20.814	NaN		27.680	NaN
7:40:33 PM	-800.0	207.697	NaN	20.811	NaN		27.689	NaN
7:40:40 PM	-850.0	207.366	NaN	20.832	NaN		27.669	NaN
7:40:47 PM	-900.0	207.792	NaN	20.813	NaN		27.662	NaN
7:40:53 PM	-950.0	208.081	NaN	20.796	NaN		27.674	NaN
7:41:00 PM	-1000.0	207.475	NaN	20.826	NaN		27.672	NaN
7:41:06 PM	-1050.0	207.818	NaN	20.811	NaN		27.665	NaN
7:41:13 PM	-1100.0	207.982	NaN	20.804	NaN		27.661	NaN
7:41:19 PM	-1150.0	207.859	NaN	20.808	NaN		27.669	NaN
7:41:26 PM	-1200.0	208.029	NaN	20.801	NaN		27.664	NaN
7:41:32 PM	-1250.0	207.422	NaN	20.831	NaN		27.662	NaN
7:41:39 PM	-1300.0	207.951	NaN	20.807	NaN		27.655	NaN
7:41:46 PM	-1350.0	207.186	NaN	20.844	NaN		27.656	NaN
7:41:53 PM	-1400.0	207.803	NaN	20.811	NaN		27.668	NaN
7:41:59 PM	-1450.0	207.778	NaN	20.810	NaN		27.677	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	3	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
7:45:54 PM	100.0	275.584	NaN	18.039	NaN		27.647	NaN
7:46:01 PM	50.0	271.812	NaN	18.169	NaN		27.654	NaN
7:46:07 PM	0.0	260.208	NaN	18.589	NaN		27.652	NaN
7:46:14 PM	-50.0	246.941	NaN	19.095	NaN		27.664	NaN
7:46:20 PM	-100.0	234.681	NaN	19.594	NaN		27.671	NaN
7:46:27 PM	-150.0	224.133	NaN	20.054	NaN		27.657	NaN
7:46:33 PM	-200.0	216.236	NaN	20.412	NaN		27.661	NaN
7:46:40 PM	-250.0	211.253	NaN	20.647	NaN		27.659	NaN
7:46:47 PM	-300.0	209.096	NaN	20.752	NaN		27.653	NaN
7:46:54 PM	-350.0	208.625	NaN	20.777	NaN		27.644	NaN
7:47:01 PM	-400.0	208.137	NaN	20.795	NaN		27.667	NaN
7:47:08 PM	-450.0	207.961	NaN	20.806	NaN		27.657	NaN
7:47:15 PM	-500.0	207.941	NaN	20.806	NaN		27.661	NaN
7:47:22 PM	-550.0	208.075	NaN	20.800	NaN		27.659	NaN
7:47:28 PM	-600.0	208.105	NaN	20.800	NaN		27.653	NaN
7:47:35 PM	-650.0	207.798	NaN	20.810	NaN		27.673	NaN
7:47:41 PM	-700.0	207.581	NaN	20.812	NaN		27.708	NaN
7:47:48 PM	-750.0	207.742	NaN	20.812	NaN		27.676	NaN
7:47:55 PM	-800.0	207.645	NaN	20.815	NaN		27.683	NaN
7:48:02 PM	-850.0	208.198	NaN	20.793	NaN		27.663	NaN
7:48:08 PM	-900.0	208.032	NaN	20.804	NaN		27.651	NaN
7:48:15 PM	-950.0	208.393	NaN	20.786	NaN		27.653	NaN
7:48:22 PM	-1000.0	207.653	NaN	20.820	NaN		27.661	NaN
7:48:29 PM	-1050.0	207.713	NaN	20.820	NaN		27.649	NaN
7:48:36 PM	-1100.0	207.659	NaN	20.818	NaN		27.668	NaN
7:48:43 PM	-1150.0	207.788	NaN	20.811	NaN		27.671	NaN
7:48:49 PM	-1200.0	208.271	NaN	20.788	NaN		27.669	NaN
7:48:56 PM	-1250.0	207.637	NaN	20.823	NaN		27.652	NaN
7:49:03 PM	-1300.0	207.551	NaN	20.823	NaN		27.669	NaN
7:49:10 PM	-1350.0	207.750	NaN	20.816	NaN		27.658	NaN
7:49:17 PM	-1400.0	208.140	NaN	20.799	NaN		27.650	NaN
7:49:24 PM	-1450.0	207.898	NaN	20.811	NaN		27.649	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	4	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
7:59:47 PM	100.0	435.616	NaN	13.947	NaN		27.644	NaN
7:59:54 PM	50.0	414.464	NaN	14.362	NaN		27.653	NaN
8:00:01 PM	0.0	383.341	NaN	15.031	NaN		27.648	NaN
8:00:08 PM	-50.0	347.641	NaN	15.893	NaN		27.642	NaN
8:00:15 PM	-100.0	312.015	NaN	16.875	NaN		27.643	NaN
8:00:22 PM	-150.0	283.500	NaN	17.767	NaN		27.660	NaN
8:00:28 PM	-200.0	257.482	NaN	18.693	NaN		27.643	NaN
8:00:35 PM	-250.0	235.395	NaN	19.569	NaN		27.650	NaN
8:00:42 PM	-300.0	223.526	NaN	20.083	NaN		27.649	NaN
8:00:48 PM	-350.0	215.060	NaN	20.467	NaN		27.660	NaN
8:00:55 PM	-400.0	211.725	NaN	20.625	NaN		27.657	NaN
8:01:01 PM	-450.0	209.759	NaN	20.721	NaN		27.649	NaN
8:01:08 PM	-500.0	209.133	NaN	20.749	NaN		27.658	NaN
8:01:15 PM	-550.0	208.896	NaN	20.757	NaN		27.672	NaN
8:01:22 PM	-600.0	209.041	NaN	20.750	NaN		27.672	NaN
8:01:28 PM	-650.0	209.490	NaN	20.733	NaN		27.653	NaN
8:01:35 PM	-700.0	209.397	NaN	20.736	NaN		27.659	NaN
8:01:41 PM	-750.0	209.085	NaN	20.753	NaN		27.651	NaN
8:01:48 PM	-800.0	208.770	NaN	20.768	NaN		27.652	NaN
8:01:54 PM	-850.0	208.838	NaN	20.763	NaN		27.659	NaN
8:02:01 PM	-900.0	208.946	NaN	20.758	NaN		27.658	NaN
8:02:07 PM	-950.0	208.661	NaN	20.774	NaN		27.649	NaN
8:02:14 PM	-1000.0	208.749	NaN	20.770	NaN		27.648	NaN
8:02:20 PM	-1050.0	209.070	NaN	20.754	NaN		27.650	NaN
8:02:27 PM	-1100.0	208.594	NaN	20.778	NaN		27.646	NaN
8:02:33 PM	-1150.0	209.256	NaN	20.746	NaN		27.646	NaN
8:02:40 PM	-1200.0	208.909	NaN	20.762	NaN		27.649	NaN
8:02:46 PM	-1250.0	208.798	NaN	20.773	NaN		27.626	NaN
8:02:53 PM	-1300.0	208.920	NaN	20.760	NaN		27.655	NaN
8:02:59 PM	-1350.0	208.697	NaN	20.773	NaN		27.646	NaN
8:03:06 PM	-1400.0	208.749	NaN	20.769	NaN		27.652	NaN
8:03:12 PM	-1450.0	208.455	NaN	20.783	NaN		27.653	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	5	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
8:03:29 PM	100.0	416.770	NaN	14.310	NaN		27.679	NaN
8:03:35 PM	50.0	408.775	NaN	14.479	NaN		27.653	NaN
8:03:42 PM	0.0	382.468	NaN	15.051	NaN		27.647	NaN
8:03:48 PM	-50.0	350.624	NaN	15.815	NaN		27.650	NaN
8:03:55 PM	-100.0	316.827	NaN	16.731	NaN		27.657	NaN
8:04:01 PM	-150.0	285.829	NaN	17.691	NaN		27.654	NaN
8:04:08 PM	-200.0	261.050	NaN	18.558	NaN		27.651	NaN
8:04:14 PM	-250.0	240.128	NaN	19.373	NaN		27.649	NaN
8:04:21 PM	-300.0	225.463	NaN	19.996	NaN		27.653	NaN
8:04:28 PM	-350.0	217.576	NaN	20.350	NaN		27.661	NaN
8:04:34 PM	-400.0	212.476	NaN	20.592	NaN		27.646	NaN
8:04:41 PM	-450.0	210.340	NaN	20.688	NaN		27.670	NaN
8:04:48 PM	-500.0	209.436	NaN	20.707	NaN		27.770	NaN
8:04:54 PM	-550.0	209.387	NaN	20.714	NaN		27.751	NaN
8:05:01 PM	-600.0	209.330	NaN	20.739	NaN		27.660	NaN
8:05:08 PM	-650.0	209.085	NaN	20.755	NaN		27.643	NaN
8:05:15 PM	-700.0	209.216	NaN	20.743	NaN		27.666	NaN
8:05:22 PM	-750.0	208.849	NaN	20.761	NaN		27.665	NaN
8:05:29 PM	-800.0	209.210	NaN	20.747	NaN		27.651	NaN
8:05:35 PM	-850.0	208.996	NaN	20.750	NaN		27.681	NaN
8:05:42 PM	-900.0	208.716	NaN	20.764	NaN		27.679	NaN
8:05:49 PM	-950.0	209.478	NaN	20.736	NaN		27.643	NaN
8:05:56 PM	-1000.0	208.973	NaN	20.756	NaN		27.661	NaN
8:06:03 PM	-1050.0	208.778	NaN	20.761	NaN		27.679	NaN
8:06:10 PM	-1100.0	208.712	NaN	20.761	NaN		27.692	NaN
8:06:16 PM	-1150.0	208.732	NaN	20.773	NaN		27.639	NaN
8:06:23 PM	-1200.0	209.022	NaN	20.760	NaN		27.635	NaN
8:06:30 PM	-1250.0	209.123	NaN	20.760	NaN		27.615	NaN
8:06:37 PM	-1300.0	208.784	NaN	20.759	NaN		27.686	NaN
8:06:44 PM	-1350.0	209.406	NaN	20.740	NaN		27.641	NaN
8:06:51 PM	-1400.0	209.069	NaN	20.755	NaN		27.646	NaN
8:06:57 PM	-1450.0	209.014	NaN	20.754	NaN		27.661	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/13/2024	Data Set: 	6	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
8:07:26 PM	100.0	425.462	NaN	14.145	NaN		27.637	NaN
8:07:33 PM	50.0	416.957	NaN	14.314	NaN		27.640	NaN
8:07:40 PM	0.0	397.521	NaN	14.717	NaN		27.653	NaN
