Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/10/24,5:13:01 PM,0,293.493,NaN,17.13,NaN,,27.614,NaN
1,Light,4/10/24,5:13:08 PM,-50,275.844,NaN,17.719,NaN,,27.614,NaN
1,Light,4/10/24,5:13:15 PM,-100,250.464,NaN,18.656,NaN,,27.61,NaN
1,Light,4/10/24,5:13:22 PM,-150,225.46,NaN,19.699,NaN,,27.618,NaN
1,Light,4/10/24,5:13:29 PM,-200,214.61,NaN,20.197,NaN,,27.619,NaN
1,Light,4/10/24,5:13:36 PM,-250,214.994,NaN,20.183,NaN,,27.602,NaN
1,Light,4/10/24,5:13:43 PM,-300,216.151,NaN,20.132,NaN,,27.588,NaN
1,Light,4/10/24,5:13:50 PM,-350,209.441,NaN,20.453,NaN,,27.587,NaN
1,Light,4/10/24,5:13:57 PM,-400,208.351,NaN,20.505,NaN,,27.592,NaN
1,Light,4/10/24,5:14:04 PM,-450,207.279,NaN,20.555,NaN,,27.603,NaN
1,Light,4/10/24,5:14:11 PM,-500,207.239,NaN,20.554,NaN,,27.615,NaN
1,Light,4/10/24,5:14:18 PM,-550,208.052,NaN,20.515,NaN,,27.611,NaN
1,Light,4/10/24,5:14:25 PM,-600,207.843,NaN,20.524,NaN,,27.616,NaN
1,Light,4/10/24,5:14:32 PM,-650,207.503,NaN,20.541,NaN,,27.615,NaN
1,Light,4/10/24,5:14:39 PM,-700,207.431,NaN,20.546,NaN,,27.609,NaN
1,Light,4/10/24,5:14:46 PM,-750,207.762,NaN,20.528,NaN,,27.616,NaN
1,Light,4/10/24,5:14:53 PM,-800,207.599,NaN,20.535,NaN,,27.62,NaN
1,Light,4/10/24,5:15:00 PM,-850,208.196,NaN,20.501,NaN,,27.639,NaN
1,Light,4/10/24,5:15:07 PM,-900,207.447,NaN,20.541,NaN,,27.626,NaN
1,Light,4/10/24,5:15:13 PM,-950,207.295,NaN,20.55,NaN,,27.62,NaN
