
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
2:36:55 PM	0.0	264.643	NaN	18.321	NaN		26.751	NaN
2:37:02 PM	-50.0	246.292	NaN	19.029	NaN		26.743	NaN
2:37:09 PM	-100.0	229.963	NaN	19.716	NaN		26.735	NaN
2:37:16 PM	-150.0	219.004	NaN	20.212	NaN		26.726	NaN
2:37:23 PM	-200.0	214.449	NaN	20.422	NaN		26.742	NaN
2:37:30 PM	-250.0	213.406	NaN	20.471	NaN		26.745	NaN
2:37:37 PM	-300.0	212.723	NaN	20.506	NaN		26.736	NaN
2:37:44 PM	-350.0	213.083	NaN	20.489	NaN		26.735	NaN
2:37:51 PM	-400.0	212.937	NaN	20.494	NaN		26.743	NaN
2:37:58 PM	-450.0	212.671	NaN	20.504	NaN		26.754	NaN
2:38:05 PM	-500.0	212.536	NaN	20.510	NaN		26.756	NaN
2:38:11 PM	-550.0	213.234	NaN	20.478	NaN		26.750	NaN
2:38:18 PM	-600.0	212.843	NaN	20.497	NaN		26.749	NaN
2:38:25 PM	-650.0	212.869	NaN	20.494	NaN		26.756	NaN
2:38:32 PM	-700.0	212.947	NaN	20.490	NaN		26.757	NaN
2:38:39 PM	-750.0	212.770	NaN	20.497	NaN		26.763	NaN
2:38:46 PM	-800.0	213.082	NaN	20.482	NaN		26.763	NaN
2:38:52 PM	-850.0	212.837	NaN	20.494	NaN		26.762	NaN
2:38:59 PM	-900.0	212.650	NaN	20.504	NaN		26.758	NaN
2:39:05 PM	-950.0	213.171	NaN	20.479	NaN		26.758	NaN
2:39:12 PM	-1000.0	212.634	NaN	20.502	NaN		26.769	NaN
2:39:19 PM	-1050.0	212.380	NaN	20.514	NaN		26.770	NaN
2:39:26 PM	-1100.0	212.561	NaN	20.505	NaN		26.771	NaN
2:39:33 PM	-1150.0	212.717	NaN	20.496	NaN		26.777	NaN
2:39:40 PM	-1200.0	212.816	NaN	20.493	NaN		26.770	NaN
2:39:46 PM	-1250.0	212.442	NaN	20.513	NaN		26.762	NaN
2:39:53 PM	-1300.0	212.639	NaN	20.502	NaN		26.768	NaN
2:39:59 PM	-1350.0	212.504	NaN	20.510	NaN		26.762	NaN
2:40:06 PM	-1400.0	212.494	NaN	20.509	NaN		26.768	NaN
2:40:13 PM	-1450.0	212.359	NaN	20.513	NaN		26.778	NaN
2:40:19 PM	-1500.0	213.124	NaN	20.478	NaN		26.771	NaN
2:40:26 PM	-1550.0	212.650	NaN	20.500	NaN		26.774	NaN
2:40:33 PM	-1600.0	212.853	NaN	20.488	NaN		26.783	NaN
2:40:40 PM	-1650.0	213.333	NaN	20.466	NaN		26.779	NaN
2:40:47 PM	-1700.0	212.738	NaN	20.496	NaN		26.773	NaN
2:40:53 PM	-1750.0	212.947	NaN	20.484	NaN		26.781	NaN
2:41:00 PM	-1800.0	213.020	NaN	20.482	NaN		26.775	NaN
2:41:07 PM	-1850.0	212.973	NaN	20.482	NaN		26.784	NaN
2:41:14 PM	-1900.0	212.504	NaN	20.505	NaN		26.782	NaN
2:41:21 PM	-1950.0	212.738	NaN	20.494	NaN		26.781	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	2	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
2:42:09 PM	0.0	269.245	NaN	18.144	NaN		26.791	NaN
2:42:16 PM	-50.0	250.960	NaN	18.833	NaN		26.786	NaN
2:42:23 PM	-100.0	234.783	NaN	19.496	NaN		26.783	NaN
2:42:30 PM	-150.0	224.070	NaN	19.964	NaN		26.791	NaN
2:42:37 PM	-200.0	217.059	NaN	20.287	NaN		26.789	NaN
2:42:44 PM	-250.0	213.521	NaN	20.457	NaN		26.779	NaN
2:42:51 PM	-300.0	213.176	NaN	20.471	NaN		26.789	NaN
2:42:58 PM	-350.0	212.738	NaN	20.492	NaN		26.789	NaN
2:43:05 PM	-400.0	212.931	NaN	20.481	NaN		26.796	NaN
2:43:11 PM	-450.0	212.603	NaN	20.496	NaN		26.799	NaN
2:43:18 PM	-500.0	213.077	NaN	20.474	NaN		26.796	NaN
2:43:25 PM	-550.0	212.733	NaN	20.492	NaN		26.790	NaN
2:43:32 PM	-600.0	212.811	NaN	20.488	NaN		26.791	NaN
2:43:39 PM	-650.0	212.780	NaN	20.491	NaN		26.785	NaN
2:43:46 PM	-700.0	212.827	NaN	20.488	NaN		26.788	NaN
2:43:53 PM	-750.0	212.452	NaN	20.507	NaN		26.784	NaN
2:44:00 PM	-800.0	212.556	NaN	20.501	NaN		26.788	NaN
2:44:07 PM	-850.0	212.229	NaN	20.517	NaN		26.787	NaN
2:44:14 PM	-900.0	212.311	NaN	20.509	NaN		26.803	NaN
2:44:21 PM	-950.0	212.879	NaN	20.480	NaN		26.810	NaN
2:44:28 PM	-1000.0	212.660	NaN	20.491	NaN		26.808	NaN
2:44:35 PM	-1050.0	212.681	NaN	20.492	NaN		26.800	NaN
2:44:42 PM	-1100.0	212.618	NaN	20.493	NaN		26.808	NaN
2:44:49 PM	-1150.0	212.312	NaN	20.510	NaN		26.799	NaN
2:44:56 PM	-1200.0	212.244	NaN	20.511	NaN		26.808	NaN
2:45:03 PM	-1250.0	212.639	NaN	20.493	NaN		26.804	NaN
2:45:10 PM	-1300.0	212.993	NaN	20.477	NaN		26.800	NaN
2:45:17 PM	-1350.0	212.681	NaN	20.492	NaN		26.800	NaN
2:45:24 PM	-1400.0	212.707	NaN	20.490	NaN		26.803	NaN
2:45:31 PM	-1450.0	212.649	NaN	20.492	NaN		26.806	NaN
2:45:38 PM	-1500.0	212.587	NaN	20.499	NaN		26.790	NaN
2:45:45 PM	-1550.0	212.540	NaN	20.498	NaN		26.803	NaN
2:45:52 PM	-1600.0	212.993	NaN	20.475	NaN		26.808	NaN
2:45:59 PM	-1650.0	212.738	NaN	20.485	NaN		26.817	NaN
2:46:06 PM	-1700.0	212.655	NaN	20.490	NaN		26.813	NaN
2:46:13 PM	-1750.0	212.931	NaN	20.475	NaN		26.820	NaN
2:46:20 PM	-1800.0	212.623	NaN	20.491	NaN		26.815	NaN
2:46:27 PM	-1850.0	212.509	NaN	20.497	NaN		26.813	NaN
2:46:34 PM	-1900.0	212.296	NaN	20.508	NaN		26.810	NaN
2:46:41 PM	-1950.0	212.618	NaN	20.491	NaN		26.816	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	3	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
2:47:17 PM	0.0	272.468	NaN	18.022	NaN		26.820	NaN
2:47:24 PM	-50.0	255.842	NaN	18.635	NaN		26.821	NaN
2:47:31 PM	-100.0	239.148	NaN	19.299	NaN		26.836	NaN
2:47:38 PM	-150.0	226.549	NaN	19.843	NaN		26.831	NaN
2:47:44 PM	-200.0	218.221	NaN	20.222	NaN		26.832	NaN
2:47:51 PM	-250.0	215.985	NaN	20.328	NaN		26.827	NaN
2:47:57 PM	-300.0	213.113	NaN	20.466	NaN		26.821	NaN
2:48:04 PM	-350.0	212.957	NaN	20.470	NaN		26.835	NaN
2:48:11 PM	-400.0	212.332	NaN	20.504	NaN		26.819	NaN
2:48:17 PM	-450.0	213.056	NaN	20.470	NaN		26.816	NaN
2:48:24 PM	-500.0	212.078	NaN	20.514	NaN		26.828	NaN
2:48:30 PM	-550.0	212.556	NaN	20.490	NaN		26.832	NaN
2:48:37 PM	-600.0	212.519	NaN	20.489	NaN		26.843	NaN
2:48:44 PM	-650.0	212.405	NaN	20.495	NaN		26.841	NaN
2:48:50 PM	-700.0	212.332	NaN	20.499	NaN		26.839	NaN
2:48:57 PM	-750.0	212.467	NaN	20.492	NaN		26.841	NaN
2:49:04 PM	-800.0	212.290	NaN	20.503	NaN		26.831	NaN
2:49:10 PM	-850.0	212.062	NaN	20.511	NaN		26.843	NaN
2:49:17 PM	-900.0	212.290	NaN	20.500	NaN		26.843	NaN
2:49:23 PM	-950.0	212.358	NaN	20.496	NaN		26.846	NaN
2:49:30 PM	-1000.0	212.493	NaN	20.489	NaN		26.848	NaN
2:49:36 PM	-1050.0	212.327	NaN	20.497	NaN		26.848	NaN
2:49:43 PM	-1100.0	212.566	NaN	20.486	NaN		26.846	NaN
2:49:49 PM	-1150.0	212.816	NaN	20.475	NaN		26.842	NaN
2:49:56 PM	-1200.0	212.628	NaN	20.482	NaN		26.850	NaN
2:50:02 PM	-1250.0	212.576	NaN	20.486	NaN		26.844	NaN
2:50:09 PM	-1300.0	212.670	NaN	20.479	NaN		26.854	NaN
2:50:15 PM	-1350.0	212.545	NaN	20.487	NaN		26.846	NaN
2:50:22 PM	-1400.0	212.316	NaN	20.498	NaN		26.846	NaN
2:50:28 PM	-1450.0	212.269	NaN	20.500	NaN		26.847	NaN
2:50:35 PM	-1500.0	212.764	NaN	20.476	NaN		26.848	NaN
2:50:41 PM	-1550.0	212.508	NaN	20.485	NaN		26.861	NaN
2:50:48 PM	-1600.0	212.431	NaN	20.492	NaN		26.848	NaN
