
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
6:34:37 PM	0.0	231.559	NaN	19.370	NaN		27.874	NaN
6:34:43 PM	-50.0	227.342	NaN	19.554	NaN		27.873	NaN
6:34:50 PM	-100.0	220.634	NaN	19.855	NaN		27.873	NaN
6:34:56 PM	-150.0	215.736	NaN	20.085	NaN		27.860	NaN
6:35:03 PM	-200.0	212.527	NaN	20.239	NaN		27.852	NaN
6:35:09 PM	-250.0	209.808	NaN	20.368	NaN		27.860	NaN
6:35:16 PM	-300.0	207.887	NaN	20.460	NaN		27.867	NaN
6:35:22 PM	-350.0	206.548	NaN	20.524	NaN		27.875	NaN
6:35:29 PM	-400.0	206.578	NaN	20.525	NaN		27.865	NaN
6:35:35 PM	-450.0	205.554	NaN	20.577	NaN		27.860	NaN
6:35:42 PM	-500.0	205.310	NaN	20.583	NaN		27.885	NaN
6:35:48 PM	-550.0	205.290	NaN	20.584	NaN		27.885	NaN
6:35:55 PM	-600.0	205.993	NaN	20.552	NaN		27.873	NaN
6:36:01 PM	-650.0	205.966	NaN	20.559	NaN		27.850	NaN
6:36:08 PM	-700.0	205.872	NaN	20.556	NaN		27.881	NaN
6:36:14 PM	-750.0	205.751	NaN	20.564	NaN		27.873	NaN
6:36:21 PM	-800.0	205.554	NaN	20.575	NaN		27.868	NaN
6:36:27 PM	-850.0	206.221	NaN	20.537	NaN		27.888	NaN
6:36:34 PM	-900.0	204.179	NaN	20.640	NaN		27.883	NaN
6:36:41 PM	-950.0	206.215	NaN	20.540	NaN		27.877	NaN
6:36:48 PM	-1000.0	204.818	NaN	20.607	NaN		27.887	NaN
6:36:55 PM	-1050.0	205.333	NaN	20.588	NaN		27.860	NaN
6:37:02 PM	-1100.0	206.194	NaN	20.545	NaN		27.861	NaN
6:37:09 PM	-1150.0	206.260	NaN	20.539	NaN		27.872	NaN
6:37:16 PM	-1200.0	205.596	NaN	20.570	NaN		27.880	NaN
6:37:23 PM	-1250.0	204.679	NaN	20.613	NaN		27.891	NaN
6:37:30 PM	-1300.0	205.792	NaN	20.561	NaN		27.877	NaN
6:37:37 PM	-1350.0	206.361	NaN	20.533	NaN		27.876	NaN
6:37:44 PM	-1400.0	206.215	NaN	20.539	NaN		27.881	NaN
6:37:50 PM	-1450.0	205.914	NaN	20.551	NaN		27.893	NaN
6:37:57 PM	-1500.0	205.763	NaN	20.558	NaN		27.895	NaN
6:38:04 PM	-1550.0	205.874	NaN	20.552	NaN		27.897	NaN
6:38:11 PM	-1600.0	205.922	NaN	20.555	NaN		27.875	NaN
6:38:18 PM	-1650.0	204.773	NaN	20.611	NaN		27.880	NaN
6:38:25 PM	-1700.0	205.545	NaN	20.574	NaN		27.874	NaN
6:38:31 PM	-1750.0	205.897	NaN	20.556	NaN		27.876	NaN
6:38:38 PM	-1800.0	206.160	NaN	20.540	NaN		27.888	NaN
6:38:45 PM	-1850.0	205.034	NaN	20.595	NaN		27.892	NaN
6:38:52 PM	-1900.0	205.406	NaN	20.576	NaN		27.894	NaN
6:38:59 PM	-1950.0	205.451	NaN	20.575	NaN		27.889	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	2	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
6:39:21 PM	0.0	229.721	NaN	19.446	NaN		27.889	NaN
6:39:28 PM	-50.0	226.145	NaN	19.605	NaN		27.881	NaN
