Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/10/24,7:41:07 PM,0,230.437,NaN,19.359,NaN,,28.123,NaN
1,Light,4/10/24,7:41:14 PM,-50,224.957,NaN,19.598,NaN,,28.13,NaN
1,Light,4/10/24,7:41:20 PM,-100,218.687,NaN,19.882,NaN,,28.131,NaN
1,Light,4/10/24,7:41:27 PM,-150,213.249,NaN,20.14,NaN,,28.117,NaN
1,Light,4/10/24,7:41:33 PM,-200,209.319,NaN,20.326,NaN,,28.129,NaN
1,Light,4/10/24,7:41:40 PM,-250,206.34,NaN,20.472,NaN,,28.129,NaN
1,Light,4/10/24,7:41:47 PM,-300,205.422,NaN,20.518,NaN,,28.127,NaN
1,Light,4/10/24,7:41:53 PM,-350,204.204,NaN,20.579,NaN,,28.126,NaN
1,Light,4/10/24,7:42:00 PM,-400,204.2,NaN,20.578,NaN,,28.131,NaN
1,Light,4/10/24,7:42:06 PM,-450,204.18,NaN,20.577,NaN,,28.139,NaN
1,Light,4/10/24,7:42:13 PM,-500,204.07,NaN,20.583,NaN,,28.137,NaN
1,Light,4/10/24,7:42:19 PM,-550,203.999,NaN,20.591,NaN,,28.119,NaN
1,Light,4/10/24,7:42:26 PM,-600,204.425,NaN,20.566,NaN,,28.134,NaN
1,Light,4/10/24,7:42:32 PM,-650,204.59,NaN,20.558,NaN,,28.133,NaN
1,Light,4/10/24,7:42:39 PM,-700,204.255,NaN,20.575,NaN,,28.132,NaN
1,Light,4/10/24,7:42:46 PM,-750,204.36,NaN,20.57,NaN,,28.131,NaN
1,Light,4/10/24,7:42:52 PM,-800,203.651,NaN,20.605,NaN,,28.133,NaN
1,Light,4/10/24,7:42:59 PM,-850,203.1,NaN,20.632,NaN,,28.136,NaN
1,Light,4/10/24,7:43:05 PM,-900,204.105,NaN,20.582,NaN,,28.134,NaN
1,Light,4/10/24,7:43:12 PM,-950,204.94,NaN,20.541,NaN,,28.131,NaN
1,Light,4/10/24,7:43:18 PM,-1000,203.945,NaN,20.59,NaN,,28.134,NaN
1,Light,4/10/24,7:43:25 PM,-1050,204.445,NaN,20.565,NaN,,28.134,NaN
1,Light,4/10/24,7:43:31 PM,-1100,204.295,NaN,20.573,NaN,,28.132,NaN
1,Light,4/10/24,7:43:38 PM,-1150,204.365,NaN,20.568,NaN,,28.138,NaN
1,Light,4/10/24,7:43:44 PM,-1200,204.006,NaN,20.586,NaN,,28.138,NaN
1,Light,4/10/24,7:43:51 PM,-1250,204.275,NaN,20.573,NaN,,28.136,NaN
