
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
8:47:30 PM	0.0	235.138	NaN	19.136	NaN		28.216	NaN
8:47:37 PM	-50.0	231.273	NaN	19.301	NaN		28.215	NaN
8:47:44 PM	-100.0	224.997	NaN	19.578	NaN		28.206	NaN
8:47:50 PM	-150.0	218.471	NaN	19.871	NaN		28.218	NaN
8:47:57 PM	-200.0	210.955	NaN	20.224	NaN		28.223	NaN
8:48:03 PM	-250.0	209.351	NaN	20.303	NaN		28.217	NaN
8:48:10 PM	-300.0	206.914	NaN	20.421	NaN		28.222	NaN
8:48:16 PM	-350.0	205.196	NaN	20.506	NaN		28.222	NaN
8:48:23 PM	-400.0	204.172	NaN	20.561	NaN		28.206	NaN
8:48:29 PM	-450.0	203.540	NaN	20.591	NaN		28.213	NaN
8:48:36 PM	-500.0	203.565	NaN	20.590	NaN		28.212	NaN
8:48:42 PM	-550.0	203.501	NaN	20.591	NaN		28.221	NaN
8:48:49 PM	-600.0	203.954	NaN	20.569	NaN		28.218	NaN
8:48:55 PM	-650.0	203.471	NaN	20.592	NaN		28.223	NaN
8:49:02 PM	-700.0	203.954	NaN	20.569	NaN		28.218	NaN
8:49:08 PM	-750.0	203.705	NaN	20.582	NaN		28.216	NaN
8:49:15 PM	-800.0	204.025	NaN	20.564	NaN		28.224	NaN
8:49:21 PM	-850.0	203.840	NaN	20.574	NaN		28.221	NaN
8:49:28 PM	-900.0	202.954	NaN	20.619	NaN		28.219	NaN
8:49:35 PM	-950.0	203.531	NaN	20.589	NaN		28.223	NaN
8:49:42 PM	-1000.0	204.559	NaN	20.539	NaN		28.217	NaN
8:49:49 PM	-1050.0	203.048	NaN	20.614	NaN		28.220	NaN
8:49:55 PM	-1100.0	204.303	NaN	20.552	NaN		28.216	NaN
8:50:02 PM	-1150.0	203.934	NaN	20.570	NaN		28.218	NaN
8:50:09 PM	-1200.0	203.481	NaN	20.593	NaN		28.217	NaN
8:50:15 PM	-1250.0	203.401	NaN	20.596	NaN		28.221	NaN
8:50:22 PM	-1300.0	201.980	NaN	20.668	NaN		28.220	NaN
8:50:29 PM	-1350.0	202.267	NaN	20.652	NaN		28.226	NaN
8:50:36 PM	-1400.0	202.099	NaN	20.660	NaN		28.228	NaN
8:50:43 PM	-1450.0	204.005	NaN	20.564	NaN		28.228	NaN
8:50:50 PM	-1500.0	203.860	NaN	20.572	NaN		28.225	NaN
8:50:57 PM	-1550.0	203.217	NaN	20.606	NaN		28.218	NaN
8:51:04 PM	-1600.0	203.264	NaN	20.599	NaN		28.237	NaN
8:51:11 PM	-1650.0	202.876	NaN	20.620	NaN		28.231	NaN
8:51:18 PM	-1700.0	203.095	NaN	20.608	NaN		28.235	NaN
8:51:24 PM	-1750.0	203.238	NaN	20.603	NaN		28.226	NaN
8:51:31 PM	-1800.0	202.622	NaN	20.635	NaN		28.222	NaN
8:51:38 PM	-1850.0	203.323	NaN	20.597	NaN		28.233	NaN
8:51:45 PM	-1900.0	202.990	NaN	20.615	NaN		28.228	NaN
8:51:52 PM	-1950.0	202.286	NaN	20.651	NaN		28.226	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	2	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
8:52:19 PM	0.0	237.367	NaN	19.042	NaN		28.218	NaN
8:52:26 PM	-50.0	233.240	NaN	19.212	NaN		28.235	NaN
8:52:33 PM	-100.0	226.130	NaN	19.521	NaN		28.234	NaN
8:52:40 PM	-150.0	217.195	NaN	19.925	NaN		28.239	NaN
8:52:47 PM	-200.0	211.529	NaN	20.194	NaN		28.233	NaN
8:52:54 PM	-250.0	208.720	NaN	20.332	NaN		28.224	NaN
8:53:01 PM	-300.0	205.560	NaN	20.486	NaN		28.230	NaN
8:53:07 PM	-350.0	204.906	NaN	20.519	NaN		28.228	NaN
8:53:14 PM	-400.0	204.110	NaN	20.559	NaN		28.227	NaN
