Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/10/24,8:47:30 PM,0,235.138,NaN,19.136,NaN,,28.216,NaN
1,Light,4/10/24,8:47:37 PM,-50,231.273,NaN,19.301,NaN,,28.215,NaN
1,Light,4/10/24,8:47:44 PM,-100,224.997,NaN,19.578,NaN,,28.206,NaN
1,Light,4/10/24,8:47:50 PM,-150,218.471,NaN,19.871,NaN,,28.218,NaN
1,Light,4/10/24,8:47:57 PM,-200,210.955,NaN,20.224,NaN,,28.223,NaN
1,Light,4/10/24,8:48:03 PM,-250,209.351,NaN,20.303,NaN,,28.217,NaN
1,Light,4/10/24,8:48:10 PM,-300,206.914,NaN,20.421,NaN,,28.222,NaN
1,Light,4/10/24,8:48:16 PM,-350,205.196,NaN,20.506,NaN,,28.222,NaN
1,Light,4/10/24,8:48:23 PM,-400,204.172,NaN,20.561,NaN,,28.206,NaN
1,Light,4/10/24,8:48:29 PM,-450,203.54,NaN,20.591,NaN,,28.213,NaN
1,Light,4/10/24,8:48:36 PM,-500,203.565,NaN,20.59,NaN,,28.212,NaN
1,Light,4/10/24,8:48:42 PM,-550,203.501,NaN,20.591,NaN,,28.221,NaN
1,Light,4/10/24,8:48:49 PM,-600,203.954,NaN,20.569,NaN,,28.218,NaN
1,Light,4/10/24,8:48:55 PM,-650,203.471,NaN,20.592,NaN,,28.223,NaN
1,Light,4/10/24,8:49:02 PM,-700,203.954,NaN,20.569,NaN,,28.218,NaN
1,Light,4/10/24,8:49:08 PM,-750,203.705,NaN,20.582,NaN,,28.216,NaN
1,Light,4/10/24,8:49:15 PM,-800,204.025,NaN,20.564,NaN,,28.224,NaN
1,Light,4/10/24,8:49:21 PM,-850,203.84,NaN,20.574,NaN,,28.221,NaN
1,Light,4/10/24,8:49:28 PM,-900,202.954,NaN,20.619,NaN,,28.219,NaN
1,Light,4/10/24,8:49:35 PM,-950,203.531,NaN,20.589,NaN,,28.223,NaN
1,Light,4/10/24,8:49:42 PM,-1000,204.559,NaN,20.539,NaN,,28.217,NaN
1,Light,4/10/24,8:49:49 PM,-1050,203.048,NaN,20.614,NaN,,28.22,NaN
1,Light,4/10/24,8:49:55 PM,-1100,204.303,NaN,20.552,NaN,,28.216,NaN
1,Light,4/10/24,8:50:02 PM,-1150,203.934,NaN,20.57,NaN,,28.218,NaN
1,Light,4/10/24,8:50:09 PM,-1200,203.481,NaN,20.593,NaN,,28.217,NaN
