Replicate,Condition,Date,Time,Depth (µm),A FireSting Ch1 (µmol/L),B No sensor,A FireSting Ch1 (raw value),B No sensor,Comment,A: Temp (∫C),B: Temp (∫C)
1,Light,4/10/24,2:36:55 PM,0,264.643,NaN,18.321,NaN,,26.751,NaN
1,Light,4/10/24,2:37:02 PM,-50,246.292,NaN,19.029,NaN,,26.743,NaN
1,Light,4/10/24,2:37:09 PM,-100,229.963,NaN,19.716,NaN,,26.735,NaN
1,Light,4/10/24,2:37:16 PM,-150,219.004,NaN,20.212,NaN,,26.726,NaN
1,Light,4/10/24,2:37:23 PM,-200,214.449,NaN,20.422,NaN,,26.742,NaN
1,Light,4/10/24,2:37:30 PM,-250,213.406,NaN,20.471,NaN,,26.745,NaN
1,Light,4/10/24,2:37:37 PM,-300,212.723,NaN,20.506,NaN,,26.736,NaN
1,Light,4/10/24,2:37:44 PM,-350,213.083,NaN,20.489,NaN,,26.735,NaN
1,Light,4/10/24,2:37:51 PM,-400,212.937,NaN,20.494,NaN,,26.743,NaN
1,Light,4/10/24,2:37:58 PM,-450,212.671,NaN,20.504,NaN,,26.754,NaN
1,Light,4/10/24,2:38:05 PM,-500,212.536,NaN,20.51,NaN,,26.756,NaN
1,Light,4/10/24,2:38:11 PM,-550,213.234,NaN,20.478,NaN,,26.75,NaN
1,Light,4/10/24,2:38:18 PM,-600,212.843,NaN,20.497,NaN,,26.749,NaN
1,Light,4/10/24,2:38:25 PM,-650,212.869,NaN,20.494,NaN,,26.756,NaN
1,Light,4/10/24,2:38:32 PM,-700,212.947,NaN,20.49,NaN,,26.757,NaN
1,Light,4/10/24,2:38:39 PM,-750,212.77,NaN,20.497,NaN,,26.763,NaN
1,Light,4/10/24,2:38:46 PM,-800,213.082,NaN,20.482,NaN,,26.763,NaN
1,Light,4/10/24,2:38:52 PM,-850,212.837,NaN,20.494,NaN,,26.762,NaN
1,Light,4/10/24,2:38:59 PM,-900,212.65,NaN,20.504,NaN,,26.758,NaN
1,Light,4/10/24,2:39:05 PM,-950,213.171,NaN,20.479,NaN,,26.758,NaN
1,Light,4/10/24,2:39:12 PM,-1000,212.634,NaN,20.502,NaN,,26.769,NaN
1,Light,4/10/24,2:39:19 PM,-1050,212.38,NaN,20.514,NaN,,26.77,NaN
1,Light,4/10/24,2:39:26 PM,-1100,212.561,NaN,20.505,NaN,,26.771,NaN
1,Light,4/10/24,2:39:33 PM,-1150,212.717,NaN,20.496,NaN,,26.777,NaN
1,Light,4/10/24,2:39:40 PM,-1200,212.816,NaN,20.493,NaN,,26.77,NaN
1,Light,4/10/24,2:39:46 PM,-1250,212.442,NaN,20.513,NaN,,26.762,NaN
1,Light,4/10/24,2:39:53 PM,-1300,212.639,NaN,20.502,NaN,,26.768,NaN
1,Light,4/10/24,2:39:59 PM,-1350,212.504,NaN,20.51,NaN,,26.762,NaN
1,Light,4/10/24,2:40:06 PM,-1400,212.494,NaN,20.509,NaN,,26.768,NaN
1,Light,4/10/24,2:40:13 PM,-1450,212.359,NaN,20.513,NaN,,26.778,NaN
1,Light,4/10/24,2:40:19 PM,-1500,213.124,NaN,20.478,NaN,,26.771,NaN
1,Light,4/10/24,2:40:26 PM,-1550,212.65,NaN,20.5,NaN,,26.774,NaN
1,Light,4/10/24,2:40:33 PM,-1600,212.853,NaN,20.488,NaN,,26.783,NaN
1,Light,4/10/24,2:40:40 PM,-1650,213.333,NaN,20.466,NaN,,26.779,NaN
1,Light,4/10/24,2:40:47 PM,-1700,212.738,NaN,20.496,NaN,,26.773,NaN
1,Light,4/10/24,2:40:53 PM,-1750,212.947,NaN,20.484,NaN,,26.781,NaN
1,Light,4/10/24,2:41:00 PM,-1800,213.02,NaN,20.482,NaN,,26.775,NaN
1,Light,4/10/24,2:41:07 PM,-1850,212.973,NaN,20.482,NaN,,26.784,NaN
1,Light,4/10/24,2:41:14 PM,-1900,212.504,NaN,20.505,NaN,,26.782,NaN
1,Light,4/10/24,2:41:21 PM,-1950,212.738,NaN,20.494,NaN,,26.781,NaN
2,Light,4/10/24,2:42:09 PM,0,269.245,NaN,18.144,NaN,,26.791,NaN
2,Light,4/10/24,2:42:16 PM,-50,250.96,NaN,18.833,NaN,,26.786,NaN
2,Light,4/10/24,2:42:23 PM,-100,234.783,NaN,19.496,NaN,,26.783,NaN
2,Light,4/10/24,2:42:30 PM,-150,224.07,NaN,19.964,NaN,,26.791,NaN
2,Light,4/10/24,2:42:37 PM,-200,217.059,NaN,20.287,NaN,,26.789,NaN
2,Light,4/10/24,2:42:44 PM,-250,213.521,NaN,20.457,NaN,,26.779,NaN
2,Light,4/10/24,2:42:51 PM,-300,213.176,NaN,20.471,NaN,,26.789,NaN
2,Light,4/10/24,2:42:58 PM,-350,212.738,NaN,20.492,NaN,,26.789,NaN
2,Light,4/10/24,2:43:05 PM,-400,212.931,NaN,20.481,NaN,,26.796,NaN
2,Light,4/10/24,2:43:11 PM,-450,212.603,NaN,20.496,NaN,,26.799,NaN
2,Light,4/10/24,2:43:18 PM,-500,213.077,NaN,20.474,NaN,,26.796,NaN
2,Light,4/10/24,2:43:25 PM,-550,212.733,NaN,20.492,NaN,,26.79,NaN
2,Light,4/10/24,2:43:32 PM,-600,212.811,NaN,20.488,NaN,,26.791,NaN
2,Light,4/10/24,2:43:39 PM,-650,212.78,NaN,20.491,NaN,,26.785,NaN
2,Light,4/10/24,2:43:46 PM,-700,212.827,NaN,20.488,NaN,,26.788,NaN
2,Light,4/10/24,2:43:53 PM,-750,212.452,NaN,20.507,NaN,,26.784,NaN
2,Light,4/10/24,2:44:00 PM,-800,212.556,NaN,20.501,NaN,,26.788,NaN
2,Light,4/10/24,2:44:07 PM,-850,212.229,NaN,20.517,NaN,,26.787,NaN
2,Light,4/10/24,2:44:14 PM,-900,212.311,NaN,20.509,NaN,,26.803,NaN
2,Light,4/10/24,2:44:21 PM,-950,212.879,NaN,20.48,NaN,,26.81,NaN
2,Light,4/10/24,2:44:28 PM,-1000,212.66,NaN,20.491,NaN,,26.808,NaN
2,Light,4/10/24,2:44:35 PM,-1050,212.681,NaN,20.492,NaN,,26.8,NaN
2,Light,4/10/24,2:44:42 PM,-1100,212.618,NaN,20.493,NaN,,26.808,NaN
2,Light,4/10/24,2:44:49 PM,-1150,212.312,NaN,20.51,NaN,,26.799,NaN
2,Light,4/10/24,2:44:56 PM,-1200,212.244,NaN,20.511,NaN,,26.808,NaN
2,Light,4/10/24,2:45:03 PM,-1250,212.639,NaN,20.493,NaN,,26.804,NaN
2,Light,4/10/24,2:45:10 PM,-1300,212.993,NaN,20.477,NaN,,26.8,NaN
2,Light,4/10/24,2:45:17 PM,-1350,212.681,NaN,20.492,NaN,,26.8,NaN
2,Light,4/10/24,2:45:24 PM,-1400,212.707,NaN,20.49,NaN,,26.803,NaN
2,Light,4/10/24,2:45:31 PM,-1450,212.649,NaN,20.492,NaN,,26.806,NaN
2,Light,4/10/24,2:45:38 PM,-1500,212.587,NaN,20.499,NaN,,26.79,NaN
2,Light,4/10/24,2:45:45 PM,-1550,212.54,NaN,20.498,NaN,,26.803,NaN
2,Light,4/10/24,2:45:52 PM,-1600,212.993,NaN,20.475,NaN,,26.808,NaN
2,Light,4/10/24,2:45:59 PM,-1650,212.738,NaN,20.485,NaN,,26.817,NaN
2,Light,4/10/24,2:46:06 PM,-1700,212.655,NaN,20.49,NaN,,26.813,NaN
2,Light,4/10/24,2:46:13 PM,-1750,212.931,NaN,20.475,NaN,,26.82,NaN
2,Light,4/10/24,2:46:20 PM,-1800,212.623,NaN,20.491,NaN,,26.815,NaN
2,Light,4/10/24,2:46:27 PM,-1850,212.509,NaN,20.497,NaN,,26.813,NaN
2,Light,4/10/24,2:46:34 PM,-1900,212.296,NaN,20.508,NaN,,26.81,NaN
2,Light,4/10/24,2:46:41 PM,-1950,212.618,NaN,20.491,NaN,,26.816,NaN
3,Light,4/10/24,2:47:17 PM,0,272.468,NaN,18.022,NaN,,26.82,NaN
3,Light,4/10/24,2:47:24 PM,-50,255.842,NaN,18.635,NaN,,26.821,NaN
3,Light,4/10/24,2:47:31 PM,-100,239.148,NaN,19.299,NaN,,26.836,NaN
