
***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	1	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
5:13:01 PM	0.0	293.493	NaN	17.130	NaN		27.614	NaN
5:13:08 PM	-50.0	275.844	NaN	17.719	NaN		27.614	NaN
5:13:15 PM	-100.0	250.464	NaN	18.656	NaN		27.610	NaN
5:13:22 PM	-150.0	225.460	NaN	19.699	NaN		27.618	NaN
5:13:29 PM	-200.0	214.610	NaN	20.197	NaN		27.619	NaN
5:13:36 PM	-250.0	214.994	NaN	20.183	NaN		27.602	NaN
5:13:43 PM	-300.0	216.151	NaN	20.132	NaN		27.588	NaN
5:13:50 PM	-350.0	209.441	NaN	20.453	NaN		27.587	NaN
5:13:57 PM	-400.0	208.351	NaN	20.505	NaN		27.592	NaN
5:14:04 PM	-450.0	207.279	NaN	20.555	NaN		27.603	NaN
5:14:11 PM	-500.0	207.239	NaN	20.554	NaN		27.615	NaN
5:14:18 PM	-550.0	208.052	NaN	20.515	NaN		27.611	NaN
5:14:25 PM	-600.0	207.843	NaN	20.524	NaN		27.616	NaN
5:14:32 PM	-650.0	207.503	NaN	20.541	NaN		27.615	NaN
5:14:39 PM	-700.0	207.431	NaN	20.546	NaN		27.609	NaN
5:14:46 PM	-750.0	207.762	NaN	20.528	NaN		27.616	NaN
5:14:53 PM	-800.0	207.599	NaN	20.535	NaN		27.620	NaN
5:15:00 PM	-850.0	208.196	NaN	20.501	NaN		27.639	NaN
5:15:07 PM	-900.0	207.447	NaN	20.541	NaN		27.626	NaN
5:15:13 PM	-950.0	207.295	NaN	20.550	NaN		27.620	NaN
5:15:20 PM	-1000.0	207.848	NaN	20.524	NaN		27.615	NaN
5:15:27 PM	-1050.0	207.889	NaN	20.522	NaN		27.615	NaN
5:15:33 PM	-1100.0	207.281	NaN	20.547	NaN		27.635	NaN
5:15:40 PM	-1150.0	207.133	NaN	20.556	NaN		27.628	NaN
5:15:47 PM	-1200.0	207.077	NaN	20.562	NaN		27.615	NaN
5:15:54 PM	-1250.0	207.098	NaN	20.557	NaN		27.631	NaN
5:16:01 PM	-1300.0	207.518	NaN	20.538	NaN		27.624	NaN
5:16:07 PM	-1350.0	207.869	NaN	20.520	NaN		27.627	NaN
5:16:14 PM	-1400.0	207.914	NaN	20.520	NaN		27.618	NaN
5:16:21 PM	-1450.0	207.817	NaN	20.527	NaN		27.609	NaN
5:16:28 PM	-1500.0	207.604	NaN	20.536	NaN		27.615	NaN
5:16:35 PM	-1550.0	207.676	NaN	20.531	NaN		27.621	NaN
5:16:42 PM	-1600.0	207.538	NaN	20.540	NaN		27.612	NaN
5:16:48 PM	-1650.0	207.386	NaN	20.546	NaN		27.618	NaN
5:16:55 PM	-1700.0	207.858	NaN	20.525	NaN		27.609	NaN
5:17:02 PM	-1750.0	207.702	NaN	20.527	NaN		27.632	NaN
5:17:08 PM	-1800.0	207.966	NaN	20.515	NaN		27.628	NaN
5:17:15 PM	-1850.0	207.692	NaN	20.527	NaN		27.634	NaN
5:17:22 PM	-1900.0	207.742	NaN	20.526	NaN		27.628	NaN
5:17:29 PM	-1950.0	207.818	NaN	20.523	NaN		27.625	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	2	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
5:17:51 PM	0.0	285.615	NaN	17.384	NaN		27.628	NaN
5:17:57 PM	-50.0	262.758	NaN	18.184	NaN		27.629	NaN
5:18:04 PM	-100.0	253.790	NaN	18.526	NaN		27.613	NaN
5:18:11 PM	-150.0	237.491	NaN	19.177	NaN		27.628	NaN
5:18:18 PM	-200.0	215.899	NaN	20.134	NaN		27.628	NaN
5:18:25 PM	-250.0	212.969	NaN	20.273	NaN		27.627	NaN
5:18:31 PM	-300.0	208.803	NaN	20.475	NaN		27.624	NaN
5:18:38 PM	-350.0	208.740	NaN	20.481	NaN		27.612	NaN
5:18:44 PM	-400.0	209.237	NaN	20.456	NaN		27.615	NaN
5:18:51 PM	-450.0	207.326	NaN	20.546	NaN		27.630	NaN
5:18:57 PM	-500.0	207.586	NaN	20.530	NaN		27.643	NaN
5:19:04 PM	-550.0	207.982	NaN	20.512	NaN		27.637	NaN
5:19:10 PM	-600.0	208.048	NaN	20.509	NaN		27.636	NaN
5:19:17 PM	-650.0	208.195	NaN	20.505	NaN		27.623	NaN
5:19:23 PM	-700.0	207.408	NaN	20.540	NaN		27.638	NaN
5:19:30 PM	-750.0	207.154	NaN	20.553	NaN		27.636	NaN
5:19:36 PM	-800.0	207.879	NaN	20.520	NaN		27.625	NaN
5:19:43 PM	-850.0	207.885	NaN	20.519	NaN		27.628	NaN
5:19:49 PM	-900.0	207.392	NaN	20.543	NaN		27.629	NaN
5:19:56 PM	-950.0	207.529	NaN	20.535	NaN		27.634	NaN
5:20:02 PM	-1000.0	207.667	NaN	20.527	NaN		27.639	NaN
5:20:09 PM	-1050.0	207.727	NaN	20.525	NaN		27.635	NaN
5:20:15 PM	-1100.0	207.808	NaN	20.526	NaN		27.615	NaN
5:20:22 PM	-1150.0	207.736	NaN	20.530	NaN		27.613	NaN
5:20:29 PM	-1200.0	208.571	NaN	20.491	NaN		27.605	NaN
5:20:36 PM	-1250.0	207.538	NaN	20.538	NaN		27.620	NaN
5:20:43 PM	-1300.0	207.789	NaN	20.521	NaN		27.639	NaN
5:20:50 PM	-1350.0	207.474	NaN	20.535	NaN		27.645	NaN
5:20:57 PM	-1400.0	207.945	NaN	20.518	NaN		27.620	NaN
5:21:04 PM	-1450.0	207.788	NaN	20.522	NaN		27.635	NaN
5:21:11 PM	-1500.0	207.510	NaN	20.533	NaN		27.646	NaN
5:21:17 PM	-1550.0	206.987	NaN	20.558	NaN		27.649	NaN
5:21:24 PM	-1600.0	207.672	NaN	20.526	NaN		27.642	NaN
5:21:30 PM	-1650.0	207.397	NaN	20.544	NaN		27.624	NaN
5:21:37 PM	-1700.0	207.758	NaN	20.525	NaN		27.629	NaN
5:21:44 PM	-1750.0	207.859	NaN	20.520	NaN		27.629	NaN
5:21:50 PM	-1800.0	207.448	NaN	20.537	NaN		27.642	NaN
5:21:57 PM	-1850.0	207.484	NaN	20.534	NaN		27.647	NaN
5:22:04 PM	-1900.0	207.642	NaN	20.524	NaN		27.656	NaN
5:22:11 PM	-1950.0	207.739	NaN	20.520	NaN		27.653	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	3	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
5:23:04 PM	0.0	292.447	NaN	17.160	NaN		27.630	NaN
5:23:10 PM	-50.0	276.751	NaN	17.683	NaN		27.634	NaN
5:23:17 PM	-100.0	256.621	NaN	18.408	NaN		27.654	NaN
5:23:24 PM	-150.0	237.798	NaN	19.157	NaN		27.658	NaN
5:23:31 PM	-200.0	217.634	NaN	20.049	NaN		27.644	NaN
5:23:38 PM	-250.0	209.878	NaN	20.413	NaN		27.663	NaN
5:23:44 PM	-300.0	211.741	NaN	20.322	NaN		27.667	NaN
5:23:51 PM	-350.0	211.533	NaN	20.332	NaN		27.667	NaN
5:23:58 PM	-400.0	207.100	NaN	20.547	NaN		27.671	NaN
5:24:05 PM	-450.0	207.918	NaN	20.508	NaN		27.666	NaN
5:24:12 PM	-500.0	207.008	NaN	20.555	NaN		27.657	NaN
5:24:19 PM	-550.0	207.693	NaN	20.521	NaN		27.658	NaN
5:24:26 PM	-600.0	207.632	NaN	20.526	NaN		27.650	NaN
5:24:33 PM	-650.0	207.231	NaN	20.545	NaN		27.653	NaN
5:24:40 PM	-700.0	207.449	NaN	20.535	NaN		27.650	NaN
5:24:47 PM	-750.0	206.963	NaN	20.554	NaN		27.670	NaN
5:24:54 PM	-800.0	206.944	NaN	20.554	NaN		27.674	NaN
5:25:01 PM	-850.0	207.303	NaN	20.537	NaN		27.671	NaN
5:25:08 PM	-900.0	208.065	NaN	20.500	NaN		27.669	NaN
5:25:15 PM	-950.0	207.739	NaN	20.518	NaN		27.661	NaN
5:25:22 PM	-1000.0	206.791	NaN	20.565	NaN		27.660	NaN
5:25:29 PM	-1050.0	207.806	NaN	20.514	NaN		27.664	NaN
5:25:36 PM	-1100.0	207.003	NaN	20.558	NaN		27.646	NaN
5:25:42 PM	-1150.0	208.105	NaN	20.502	NaN		27.653	NaN
5:25:49 PM	-1200.0	207.661	NaN	20.528	NaN		27.636	NaN
5:25:56 PM	-1250.0	207.866	NaN	20.515	NaN		27.648	NaN
5:26:03 PM	-1300.0	207.008	NaN	20.554	NaN		27.661	NaN
5:26:10 PM	-1350.0	207.298	NaN	20.537	NaN		27.672	NaN
5:26:17 PM	-1400.0	207.725	NaN	20.516	NaN		27.672	NaN
5:26:24 PM	-1450.0	207.847	NaN	20.510	NaN		27.672	NaN
5:26:31 PM	-1500.0	206.725	NaN	20.570	NaN		27.653	NaN
5:26:38 PM	-1550.0	207.217	NaN	20.542	NaN		27.668	NaN
5:26:45 PM	-1600.0	207.471	NaN	20.527	NaN		27.678	NaN
5:26:52 PM	-1650.0	206.843	NaN	20.557	NaN		27.682	NaN
5:26:59 PM	-1700.0	207.785	NaN	20.514	NaN		27.668	NaN
5:27:06 PM	-1750.0	207.593	NaN	20.522	NaN		27.674	NaN
5:27:13 PM	-1800.0	207.576	NaN	20.529	NaN		27.649	NaN
5:27:20 PM	-1850.0	206.659	NaN	20.572	NaN		27.658	NaN
5:27:27 PM	-1900.0	206.908	NaN	20.555	NaN		27.677	NaN
5:27:34 PM	-1950.0	207.294	NaN	20.535	NaN		27.681	NaN

***********	*************	*************	**************	*************	*************	*************	*************
Data	from	Profix FW4	by	Pyro	Science
***********	*************	*************	**************	*************	*************	*************	*************
Date:	4/10/2024	Data Set: 	4	x (mm):	0.000	y (mm):	0,000

Time	Depth	A FireSting Ch1	B No sensor	A FireSting Ch1	B No sensor	Comment	A: Temp (ºC)	B: Temp (ºC)
	(µm)	(µmol/L)	(a.u.)	(raw value)	(raw value)	
5:55:03 PM	0.0	194.097	NaN	21.194	NaN		27.749	NaN
5:55:09 PM	-50.0	197.460	NaN	21.017	NaN		27.748	NaN
